Run date,Cycle number,Protein concentration (μg/mL),Channel,Sample type,ASAP IDs,OpenBind IDs,SMILES,Sample concentration (M),ka (M-1s-1),ka error (%),kd (s-1),kd error (%),KD (M),Rmax (pg/mm2),Sqrt(Chi2) (pg/mm2),Used in analysis
18/03/2026,30,20.0,Ch 3-1,Sample,ASAP-0044121-001,OB-00006702-001-001,CSc1ncnc(N(C)C2CCC2)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:21|,2.5e-06,20229.4,12.4517,0.0197679,3.00167,9.77e-07,45.0387,0.305769,True
18/03/2026,30,20.0,Ch 4-1,Sample,ASAP-0044121-001,OB-00006702-001-001,CSc1ncnc(N(C)C2CCC2)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:21|,2.5e-06,25223.8,10.1932,0.0175364,3.25195,6.95e-07,31.8125,0.241115,True
18/03/2026,31,20.0,Ch 2-1,Sample,ASAP-0044275-001,OB-00006712-001-001,"CSc1ccc(-c2cc[nH]n2)cc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:18,23,25|",3e-06,60177.3,6.28884,0.0282812,4.69742,4.7e-07,42.1413,1.20887,True
18/03/2026,31,20.0,Ch 3-1,Sample,ASAP-0044275-001,OB-00006712-001-001,"CSc1ccc(-c2cc[nH]n2)cc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:18,23,25|",3e-06,59544.2,6.27559,0.0299441,4.62916,5.03e-07,53.4808,1.44224,True
18/03/2026,31,20.0,Ch 4-1,Sample,ASAP-0044275-001,OB-00006712-001-001,"CSc1ccc(-c2cc[nH]n2)cc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:18,23,25|",3e-06,62891.8,6.98946,0.0296716,5.45876,4.72e-07,44.7602,1.48469,True
18/03/2026,32,20.0,Ch 2-1,Sample,ASAP-0044313-001,OB-00006738-001-001,"CSc1ncnc(N(C)CC(F)(F)F)c1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:20,25,27|",2.5e-07,100.0,228695.0,1e-07,1021.22,1e-09,1.37588,0.825467,False
18/03/2026,32,20.0,Ch 3-1,Sample,ASAP-0044313-001,OB-00006738-001-001,"CSc1ncnc(N(C)CC(F)(F)F)c1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:20,25,27|",2.5e-07,100.0,22200000.0,1e-07,1540000000.0,1e-09,0.001,0.870004,False
18/03/2026,32,20.0,Ch 4-1,Sample,ASAP-0044313-001,OB-00006738-001-001,"CSc1ncnc(N(C)CC(F)(F)F)c1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |&1:20,25,27|",2.5e-07,100.0,1010000.0,1e-07,146697.0,1e-09,0.317315,0.704916,False
18/03/2026,33,20.0,Ch 2-1,Sample,ASAP-0044445-001,OB-00006782-001-001,"CSc1ncnc(N2CCCC[C@@H]2C(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:12,24|",2.5e-06,25850.5,7.97509,0.0130622,3.03099,5.05e-07,27.6373,0.232753,True
18/03/2026,33,20.0,Ch 3-1,Sample,ASAP-0044445-001,OB-00006782-001-001,"CSc1ncnc(N2CCCC[C@@H]2C(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:12,24|",2.5e-06,20692.3,10.8239,0.0144488,3.12106,6.98e-07,40.8241,0.304935,True
18/03/2026,33,20.0,Ch 4-1,Sample,ASAP-0044445-001,OB-00006782-001-001,"CSc1ncnc(N2CCCC[C@@H]2C(C)C)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:12,24|",2.5e-06,22669.0,10.1427,0.0131298,3.4274,5.79e-07,32.3532,0.226133,True
18/03/2026,34,20.0,Ch 2-1,Sample,ASAP-0044333-003,OB-00006676-005-001,"CSc1ccc(-c2ccncc2)cc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |o1:19,24,26|",5e-05,2648.7,23.579,0.0264624,13.5431,9.99e-06,20.9511,1.36208,True
18/03/2026,34,20.0,Ch 3-1,Sample,ASAP-0044333-003,OB-00006676-005-001,"CSc1ccc(-c2ccncc2)cc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |o1:19,24,26|",5e-05,2117.7,30.1421,0.0304692,13.9257,1.44e-05,29.4677,1.62655,True
18/03/2026,34,20.0,Ch 4-1,Sample,ASAP-0044333-003,OB-00006676-005-001,"CSc1ccc(-c2ccncc2)cc1CC(=O)N1C[C@H](C(N)=O)C[C@H]2C[C@H]21 |o1:19,24,26|",5e-05,2313.04,25.8319,0.0284581,13.1886,1.23e-05,25.034,1.46233,True
18/03/2026,38,20.0,Ch 2-1,Control,ASAP-0035404-002,OB-00005392-002-001,CSc1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,5e-06,132570.0,3.38815,0.183334,1.85436,1.38e-06,21.355,0.367148,False
18/03/2026,38,20.0,Ch 3-1,Control,ASAP-0035404-002,OB-00005392-002-001,CSc1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,5e-06,119057.0,4.00195,0.202767,1.98091,1.7e-06,27.1436,0.476737,False
18/03/2026,38,20.0,Ch 4-1,Control,ASAP-0035404-002,OB-00005392-002-001,CSc1ccc(Br)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,5e-06,133404.0,3.87823,0.19441,2.05192,1.46e-06,22.5792,0.436111,False
18/03/2026,40,20.0,Ch 2-1,Sample,ASAP-0044503-001,OB-00006790-002-001,"CCS(=O)(=O)N1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)[C@H](C)C1 |a:24,29|",5e-06,15182.1,8.95779,0.0189365,3.34498,1.25e-06,26.8866,0.275289,True
18/03/2026,40,20.0,Ch 3-1,Sample,ASAP-0044503-001,OB-00006790-002-001,"CCS(=O)(=O)N1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)[C@H](C)C1 |a:24,29|",5e-06,14278.3,9.08902,0.0195278,3.159,1.37e-06,33.0344,0.327799,True
18/03/2026,40,20.0,Ch 4-1,Sample,ASAP-0044503-001,OB-00006790-002-001,"CCS(=O)(=O)N1CCN(c2ncnc(SC)c2CC(=O)N2CCC[C@H](C(N)=O)C2)[C@H](C)C1 |a:24,29|",5e-06,15132.2,8.15315,0.0192766,3.05813,1.27e-06,27.6603,0.306065,True
18/03/2026,41,20.0,Ch 2-1,Sample,ASAP-0038950-001,OB-00006151-002-001,CSc1ccc(C(=O)Nc2ccncc2)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:24|,3e-06,68161.4,4.93536,0.0570054,3.98109,8.36e-07,46.8321,0.868223,True
18/03/2026,41,20.0,Ch 3-1,Sample,ASAP-0038950-001,OB-00006151-002-001,CSc1ccc(C(=O)Nc2ccncc2)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:24|,3e-06,63848.7,5.55911,0.0608029,4.22633,9.52e-07,59.1493,1.04706,True
18/03/2026,41,20.0,Ch 4-1,Sample,ASAP-0038950-001,OB-00006151-002-001,CSc1ccc(C(=O)Nc2ccncc2)cc1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:24|,3e-06,70567.4,5.35874,0.0592484,4.42958,8.4e-07,48.6217,0.978161,True
18/03/2026,42,20.0,Ch 2-1,Sample,ASAP-0041755-001,OB-00006521-002-001,CSc1ncnc(N2Cc3ccccc3C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:24|,2.5e-06,46012.0,12.668,0.0409373,6.33398,8.9e-07,16.837,0.412009,True
18/03/2026,42,20.0,Ch 3-1,Sample,ASAP-0041755-001,OB-00006521-002-001,CSc1ncnc(N2Cc3ccccc3C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:24|,2.5e-06,38927.2,15.472,0.0406663,6.63019,1.04e-06,21.1867,0.457281,True
18/03/2026,42,20.0,Ch 4-1,Sample,ASAP-0041755-001,OB-00006521-002-001,CSc1ncnc(N2Cc3ccccc3C2)c1CC(=O)N1CCC[C@H](C(N)=O)C1 |a:24|,2.5e-06,39867.3,15.3682,0.0412199,6.83664,1.03e-06,18.8525,0.457529,True
