final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
37,beetroot,0.1710 ± 0.0139,0.4520 ± 0.0366,0.6385 ± 0.0688,0.7834 ± 0.0390,0.6212 ± 0.0345,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
38,Na123,0.1715 ± 0.0125,0.4533 ± 0.0343,0.6696 ± 0.0534,0.8290 ± 0.0329,0.6756 ± 0.0313,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
39,liberica,0.1722 ± 0.0135,0.4550 ± 0.0346,0.6343 ± 0.0652,0.7689 ± 0.0426,0.6127 ± 0.0363,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
40,wikke69,0.1724 ± 0.0136,0.4555 ± 0.0346,0.6367 ± 0.0674,0.7779 ± 0.0385,0.6148 ± 0.0342,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
41,crh201,0.1725 ± 0.0149,0.4559 ± 0.0400,0.6045 ± 0.0801,0.7876 ± 0.0391,0.6256 ± 0.0337,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
42,kermt-t,0.1754 ± 0.0124,0.4636 ± 0.0335,0.6625 ± 0.0529,0.8159 ± 0.0332,0.6561 ± 0.0312,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
43,WakuwakuADMET,0.1773 ± 0.0123,0.4688 ± 0.0353,0.6646 ± 0.0577,0.8221 ± 0.0302,0.6511 ± 0.0286,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
44,jonswain,0.1775 ± 0.0131,0.4691 ± 0.0339,0.6401 ± 0.0619,0.7852 ± 0.0394,0.6215 ± 0.0342,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
45,molairity,0.1785 ± 0.0123,0.4719 ± 0.0330,0.6626 ± 0.0498,0.8146 ± 0.0335,0.6533 ± 0.0317,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
46,tmp1234,0.1786 ± 0.0138,0.4721 ± 0.0371,0.6135 ± 0.0686,0.7879 ± 0.0376,0.6265 ± 0.0331,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
47,KagakuData,0.1791 ± 0.0133,0.4733 ± 0.0357,0.6355 ± 0.0567,0.7746 ± 0.0344,0.6048 ± 0.0328,https://github.com/KagakuAI/QSARcons
48,pequqa,0.1810 ± 0.0127,0.4783 ± 0.0310,0.6330 ± 0.0586,0.7723 ± 0.0362,0.6008 ± 0.0328,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
49,diliadis,0.1823 ± 0.0121,0.4817 ± 0.0329,0.6514 ± 0.0495,0.7985 ± 0.0338,0.6298 ± 0.0314,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
50,leeherman,0.1824 ± 0.0141,0.4821 ± 0.0385,0.6042 ± 0.0673,0.7585 ± 0.0377,0.5877 ± 0.0350,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
51,martin,0.1827 ± 0.0144,0.4829 ± 0.0393,0.5996 ± 0.0760,0.7776 ± 0.0391,0.6130 ± 0.0338,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
52,lifaen,0.1828 ± 0.0137,0.4832 ± 0.0377,0.6112 ± 0.0745,0.7970 ± 0.0376,0.6391 ± 0.0328,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
53,vibdsobeyens,0.1847 ± 0.0157,0.4881 ± 0.0415,0.5504 ± 0.0868,0.7433 ± 0.0452,0.5795 ± 0.0368,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
54,rappleton,0.1863 ± 0.0126,0.4925 ± 0.0340,0.6289 ± 0.0521,0.8119 ± 0.0353,0.6560 ± 0.0322,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
