final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
40,pequqa,0.3556 ± 0.0080,0.8405 ± 0.0208,0.3141 ± 0.0333,0.5145 ± 0.0232,0.3612 ± 0.0176,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
41,okidoki,0.3562 ± 0.0081,0.8438 ± 0.0231,0.3125 ± 0.0351,0.5540 ± 0.0226,0.3911 ± 0.0176,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
42,kermt-t,0.3571 ± 0.0077,0.8460 ± 0.0224,0.3127 ± 0.0372,0.5441 ± 0.0227,0.3861 ± 0.0176,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
43,KagakuData,0.3574 ± 0.0082,0.8464 ± 0.0200,0.3016 ± 0.0327,0.5222 ± 0.0230,0.3656 ± 0.0174,https://github.com/KagakuAI/QSARcons
44,Proper,0.3581 ± 0.0082,0.8483 ± 0.0227,0.2971 ± 0.0354,0.5478 ± 0.0225,0.3872 ± 0.0174,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
45,chiliflake,0.3597 ± 0.0078,0.8522 ± 0.0217,0.3085 ± 0.0349,0.5500 ± 0.0217,0.3878 ± 0.0167,https://docs.google.com/document/d/e/2PACX-1vR3i2EDTBjTZRKv2EIU0HJeCZRVPHpRk4LQ_LKuexDPphwveWyVCLWNZECGrW7KXPL9ZqdGNApNWh37/pub
46,eq_az,0.3611 ± 0.0084,0.8552 ± 0.0192,0.2807 ± 0.0317,0.4593 ± 0.0251,0.3202 ± 0.0186,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
47,wikke69,0.3615 ± 0.0083,0.8564 ± 0.0218,0.2876 ± 0.0349,0.5180 ± 0.0233,0.3719 ± 0.0180,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
48,median3,0.3618 ± 0.0085,0.8569 ± 0.0223,0.2754 ± 0.0361,0.4939 ± 0.0243,0.3457 ± 0.0184,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
49,JacksonBurns,0.3633 ± 0.0079,0.8606 ± 0.0217,0.2956 ± 0.0355,0.5391 ± 0.0224,0.3781 ± 0.0171,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
