final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
41,madie31,0.2796 ± 0.0082,0.7627 ± 0.0241,0.3851 ± 0.0337,0.6243 ± 0.0249,0.4491 ± 0.0201,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
42,beetroot,0.2797 ± 0.0083,0.7631 ± 0.0241,0.3995 ± 0.0341,0.6712 ± 0.0218,0.4874 ± 0.0183,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
43,vaishnavi53,0.2801 ± 0.0086,0.7641 ± 0.0253,0.3650 ± 0.0359,0.6385 ± 0.0225,0.4577 ± 0.0185,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
44,chundu05,0.2812 ± 0.0089,0.7670 ± 0.0256,0.3458 ± 0.0396,0.6350 ± 0.0250,0.4591 ± 0.0202,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
45,Hydra,0.2817 ± 0.0086,0.7684 ± 0.0261,0.3563 ± 0.0389,0.6384 ± 0.0244,0.4629 ± 0.0200,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
46,KagakuData,0.2821 ± 0.0084,0.7696 ± 0.0231,0.3502 ± 0.0350,0.6415 ± 0.0231,0.4616 ± 0.0188,https://github.com/KagakuAI/QSARcons
47,aglisman,0.2838 ± 0.0084,0.7743 ± 0.0241,0.3498 ± 0.0396,0.6092 ± 0.0256,0.4406 ± 0.0203,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
48,Mlzzzzz,0.2848 ± 0.0084,0.7768 ± 0.0237,0.3712 ± 0.0343,0.6268 ± 0.0244,0.4511 ± 0.0196,https://docs.google.com/document/d/1NsDLCBnDzkOVd4bWe7iVAiZ3y-4PUTF3DdlDlJy7j3o/edit?tab=t.0
49,interstellar-explorer,0.2861 ± 0.0085,0.7805 ± 0.0266,0.3427 ± 0.0401,0.6399 ± 0.0240,0.4628 ± 0.0197,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
50,wikke69,0.2867 ± 0.0085,0.7821 ± 0.0263,0.3413 ± 0.0415,0.6212 ± 0.0250,0.4495 ± 0.0202,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
51,iCsmiles,0.2880 ± 0.0082,0.7858 ± 0.0250,0.3612 ± 0.0382,0.6197 ± 0.0256,0.4458 ± 0.0206,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
52,agitter,0.2894 ± 0.0087,0.7895 ± 0.0246,0.3306 ± 0.0397,0.6071 ± 0.0252,0.4360 ± 0.0199,https://github.com/agitter/openadmet-expansionrx-challenge
53,lifaen,0.2910 ± 0.0088,0.7939 ± 0.0258,0.3195 ± 0.0381,0.6234 ± 0.0243,0.4486 ± 0.0195,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
54,eq_az,0.2915 ± 0.0089,0.7951 ± 0.0264,0.3152 ± 0.0413,0.5935 ± 0.0270,0.4281 ± 0.0215,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
55,leeherman,0.2927 ± 0.0088,0.7986 ± 0.0237,0.3083 ± 0.0389,0.5993 ± 0.0246,0.4286 ± 0.0193,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
56,tiuel,0.2932 ± 0.0086,0.7999 ± 0.0232,0.3190 ± 0.0356,0.5907 ± 0.0251,0.4210 ± 0.0198,https://github.com/etiu/OpenAdmet_competition
57,Kalen_UCL,0.2942 ± 0.0087,0.8025 ± 0.0223,0.3069 ± 0.0334,0.5528 ± 0.0284,0.3907 ± 0.0219,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
58,Harshit494,0.2964 ± 0.0089,0.8084 ± 0.0242,0.2950 ± 0.0388,0.5815 ± 0.0260,0.4165 ± 0.0204,https://github.com/research-al/admet-challenge
59,tmp1234,0.2965 ± 0.0092,0.8089 ± 0.0276,0.2640 ± 0.0454,0.5879 ± 0.0265,0.4263 ± 0.0209,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
60,jeremy,0.2965 ± 0.0088,0.8089 ± 0.0252,0.3060 ± 0.0404,0.5749 ± 0.0278,0.4130 ± 0.0221,https://github.com/jeremycheminf/openadmet_scripts/tree/main
61,ellieberry,0.2973 ± 0.0086,0.8111 ± 0.0230,0.3067 ± 0.0364,0.5806 ± 0.0258,0.4140 ± 0.0202,https://github.com/etiu/Openadmet_competition_v2
62,EGabrielle,0.2974 ± 0.0087,0.8113 ± 0.0231,0.2995 ± 0.0367,0.5772 ± 0.0262,0.4131 ± 0.0205,https://github.com/etiu/Openadmet_competition_v2
63,SystemsCBLab,0.2980 ± 0.0086,0.8128 ± 0.0200,0.3028 ± 0.0299,0.5560 ± 0.0277,0.3981 ± 0.0215,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
64,mechaman,0.3001 ± 0.0095,0.8185 ± 0.0261,0.2492 ± 0.0457,0.6122 ± 0.0248,0.4353 ± 0.0196,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
65,theZone,0.3013 ± 0.0088,0.8222 ± 0.0286,0.2948 ± 0.0449,0.6335 ± 0.0238,0.4545 ± 0.0195,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
66,rez3vil,0.3019 ± 0.0092,0.8237 ± 0.0273,0.2610 ± 0.0466,0.5842 ± 0.0267,0.4218 ± 0.0212,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
67,vibdsobeyens,0.3045 ± 0.0090,0.8308 ± 0.0282,0.2599 ± 0.0475,0.6246 ± 0.0243,0.4467 ± 0.0193,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
68,AzizA-A,0.3047 ± 0.0089,0.8313 ± 0.0253,0.2587 ± 0.0405,0.5821 ± 0.0251,0.4143 ± 0.0197,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
69,WakuwakuADMET,0.3051 ± 0.0095,0.8323 ± 0.0258,0.2546 ± 0.0429,0.5455 ± 0.0284,0.3876 ± 0.0219,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
70,DMakarov,0.3062 ± 0.0096,0.8354 ± 0.0284,0.2300 ± 0.0464,0.6003 ± 0.0251,0.4239 ± 0.0199,https://github.com/MDMISC/OpenADMET
71,femisegvn,0.3066 ± 0.0085,0.8365 ± 0.0248,0.2898 ± 0.0395,0.5866 ± 0.0252,0.4158 ± 0.0197,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
72,wleco22,0.3088 ± 0.0089,0.8423 ± 0.0274,0.2567 ± 0.0456,0.5946 ± 0.0254,0.4242 ± 0.0201,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
73,jonswain,0.3102 ± 0.0093,0.8463 ± 0.0272,0.2338 ± 0.0427,0.5576 ± 0.0264,0.3956 ± 0.0206,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
74,eachanjohnson,0.3130 ± 0.0093,0.8538 ± 0.0243,0.2256 ± 0.0411,0.5200 ± 0.0289,0.3668 ± 0.0218,https://github.com/eachanjohnson/challenge-2601-openadmet
75,Kandagalla,0.3184 ± 0.0097,0.8688 ± 0.0291,0.1785 ± 0.0509,0.5716 ± 0.0266,0.4062 ± 0.0205,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
76,tespharma,0.3193 ± 0.0096,0.8712 ± 0.0290,0.1888 ± 0.0475,0.5562 ± 0.0271,0.3958 ± 0.0210,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
77,vibeADMET,0.3210 ± 0.0091,0.8757 ± 0.0261,0.2095 ± 0.0433,0.5245 ± 0.0283,0.3684 ± 0.0214,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
78,Q_Accel,0.3221 ± 0.0098,0.8788 ± 0.0312,0.1474 ± 0.0586,0.5462 ± 0.0286,0.3923 ± 0.0220,https://docs.google.com/document/d/1f5yJKuEwGoVsXdp3lB_lnuruEi86-M7SNyhrRkBRbDs/edit?usp=sharing
79,csaba-percept-bio,0.3227 ± 0.0096,0.8802 ± 0.0281,0.1741 ± 0.0494,0.5598 ± 0.0262,0.3977 ± 0.0200,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
80,tomatpercept,0.3227 ± 0.0096,0.8802 ± 0.0281,0.1741 ± 0.0494,0.5598 ± 0.0262,0.3977 ± 0.0200,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
81,davidgiganti,0.3236 ± 0.0097,0.8828 ± 0.0256,0.1600 ± 0.0431,0.4792 ± 0.0311,0.3377 ± 0.0230,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
82,XeonChem,0.3246 ± 0.0096,0.8855 ± 0.0303,0.1683 ± 0.0541,0.5676 ± 0.0274,0.4060 ± 0.0214,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
83,pykel,0.3277 ± 0.0090,0.8936 ± 0.0175,0.1916 ± 0.0276,0.4536 ± 0.0310,0.3121 ± 0.0227,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
84,Discoverybytes,0.3287 ± 0.0092,0.8968 ± 0.0247,0.1951 ± 0.0377,0.4941 ± 0.0291,0.3428 ± 0.0215,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
85,martin,0.3413 ± 0.0099,0.9310 ± 0.0292,0.1153 ± 0.0533,0.5897 ± 0.0261,0.4229 ± 0.0202,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
86,riemann,0.3447 ± 0.0098,0.9404 ± 0.0282,0.1063 ± 0.0468,0.4464 ± 0.0313,0.3087 ± 0.0229,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
87,KNIMEST,0.3516 ± 0.0097,0.9592 ± 0.0331,0.0468 ± 0.0657,0.5867 ± 0.0259,0.4186 ± 0.0203,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
88,metro_mehed,0.3522 ± 0.0090,0.9607 ± 0.0238,0.0979 ± 0.0427,0.3995 ± 0.0327,0.2758 ± 0.0236,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
89,Apxjmd,0.3599 ± 0.0106,0.9820 ± 0.0355,-0.0068 ± 0.0679,0.5346 ± 0.0283,0.3770 ± 0.0214,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
90,3dprint,0.3646 ± 0.0098,0.9945 ± 0.0218,-0.0024 ± 0.0396,0.3075 ± 0.0316,0.2068 ± 0.0216,https://tinyurl.com/mnb2csbe
91,mkruege,0.3653 ± 0.0107,0.9965 ± 0.0347,-0.0417 ± 0.0720,0.4688 ± 0.0303,0.3293 ± 0.0225,https://doi.org/10.17617/3.GIKHJL
92,haleemiliyash,0.3696 ± 0.0104,1.0082 ± 0.0314,-0.0370 ± 0.0618,0.4329 ± 0.0301,0.2968 ± 0.0215,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
93,AIDDLin,0.3778 ± 0.0119,1.0306 ± 0.0368,-0.1673 ± 0.0686,0.4791 ± 0.0304,0.3366 ± 0.0224,https://github.com/linshaolong11/CAMF.git
94,boltzmann_xgb,0.3971 ± 0.0108,1.0833 ± 0.0335,-0.1503 ± 0.0652,0.5021 ± 0.0278,0.3470 ± 0.0206,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
95,redjay,0.4116 ± 0.0112,1.1226 ± 0.0219,-0.2725 ± 0.0364,-0.3272 ± 0.0299,-0.2187 ± 0.0204,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
96,rymsnyde,0.4265 ± 0.0114,1.1637 ± 0.0399,-0.3339 ± 0.0869,0.4126 ± 0.0326,0.2855 ± 0.0235,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
97,sudhir2016,0.4319 ± 0.0115,1.1785 ± 0.0385,-0.3757 ± 0.0907,0.4743 ± 0.0297,0.3293 ± 0.0218,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
98,boltzmann4,0.5053 ± 0.0118,1.3789 ± 0.0458,-0.7123 ± 0.1074,0.5279 ± 0.0262,0.3669 ± 0.0194,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
99,mtqspr_pcamor,0.5179 ± 0.0127,1.4133 ± 0.0502,-0.8511 ± 0.1247,0.6103 ± 0.0253,0.4363 ± 0.0201,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
100,latticetower,0.5775 ± 0.0165,1.5758 ± 0.0604,-1.5285 ± 0.1753,0.3035 ± 0.0338,0.2085 ± 0.0236,https://github.com/latticetower/chemney
101,little-WM-atw-2,0.7226 ± 0.0155,1.9717 ± 0.0625,-2.3316 ± 0.1550,0.0157 ± 0.0358,0.0117 ± 0.0241,https://github.com/azminewasi/OpenADMET_ExpansionRx
102,Srajall,1.1314 ± 0.0159,3.0874 ± 0.0958,-5.9328 ± 0.4016,-0.1806 ± 0.0337,-0.1190 ± 0.0226,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
103,Sean-Wong,1.3640 ± 0.0166,3.7224 ± 0.1159,-8.7488 ± 0.5663,0.5220 ± 0.0296,0.3711 ± 0.0228,https://github.com/Wang-Lin-boop/Ouroboros
