rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
1,pebble,0.48 +/- 0.02,0.68 +/- 0.03,0.83 +/- 0.02,0.66 +/- 0.02,2026-01-19 15:41:00+00:00,https://docs.google.com/document/d/11YF4Izk_XffIvXf1LahnTICKf8rbdv9mcYl42-7yt8A/edit?usp=sharing
2,campfire-capillary,0.51 +/- 0.02,0.66 +/- 0.03,0.80 +/- 0.02,0.63 +/- 0.02,2026-01-19 22:14:47+00:00,https://github.com/campfire-capillary/OpenADMETExpansionRx/blob/main/README.md
3,overfit,0.51 +/- 0.02,0.66 +/- 0.03,0.81 +/- 0.02,0.64 +/- 0.02,2026-01-14 19:15:46+00:00,https://docs.google.com/document/d/16QIFGZRlQbZGRnP7PKODNLCRiq029fDoMiEiVFF03hE/edit?usp=sharing
4,shin-chan,0.52 +/- 0.02,0.64 +/- 0.03,0.80 +/- 0.02,0.63 +/- 0.02,2026-01-19 17:10:30+00:00,https://docs.google.com/document/d/1A6sRjezd7GSeLatF7VTE9NeFhmA4rSzmgTvZTL1_Nh4/edit?usp=sharing
5,moka,0.52 +/- 0.02,0.65 +/- 0.03,0.82 +/- 0.02,0.65 +/- 0.02,2026-01-18 15:39:31+00:00,https://github.com/dahvida/openadmet-expansionrx-blind-challenge-moka
6,beetroot,0.52 +/- 0.02,0.64 +/- 0.03,0.79 +/- 0.02,0.61 +/- 0.02,2026-01-18 23:36:45+00:00,https://docs.google.com/document/d/e/2PACX-1vTcBMF2uEAu1POdvZKpA0fHCtvk1JlsolEZQgFZeOxzctH1jILjzsI2uZJL2uL9EZCwdyQ2MsQIJBfy/pub
7,rced_nvx,0.53 +/- 0.02,0.64 +/- 0.03,0.78 +/- 0.02,0.61 +/- 0.02,2026-01-19 22:31:17+00:00,https://github.com/cedenoruel/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/README.md
8,tibo,0.53 +/- 0.02,0.63 +/- 0.03,0.78 +/- 0.02,0.61 +/- 0.02,2026-01-19 22:17:48+00:00,https://github.com/Tibogoss/OpenADMET-ExpansionRx/blob/main/README.md
9,crh201,0.53 +/- 0.02,0.62 +/- 0.04,0.78 +/- 0.02,0.60 +/- 0.02,2026-01-12 15:37:18+00:00,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
10,Artichoke,0.54 +/- 0.02,0.63 +/- 0.03,0.79 +/- 0.02,0.62 +/- 0.02,2026-01-19 23:02:15+00:00,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
11,HybridADMET,0.54 +/- 0.02,0.61 +/- 0.03,0.79 +/- 0.02,0.61 +/- 0.02,2026-01-18 23:22:04+00:00,https://docs.google.com/document/d/1WD2EVaud7UFCZk5qOZ1_sV_UcGgjlQXkSivTRppDq9Q/edit?usp=sharing
12,yanyn,0.54 +/- 0.02,0.62 +/- 0.03,0.80 +/- 0.02,0.62 +/- 0.02,2026-01-19 09:14:08+00:00,https://github.com/yan-notes/openadmet_submit_yan
13,Luna,0.54 +/- 0.02,0.62 +/- 0.03,0.79 +/- 0.02,0.62 +/- 0.02,2026-01-18 01:02:02+00:00,https://docs.google.com/document/d/1Q_eu3XAShHg4Zx7ArkWZEVy24ZckG4GO4EfS_NVG2Og/edit?usp=sharing
14,Universal15,0.55 +/- 0.02,0.61 +/- 0.03,0.80 +/- 0.02,0.63 +/- 0.02,2026-01-18 02:50:08+00:00,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
15,Gashaw,0.55 +/- 0.02,0.61 +/- 0.03,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-19 21:21:00+00:00,https://docs.google.com/document/d/1-CgaIBOqN_156l_J2Ujx0tDy7OOq60k1YD0RJTqkG80/edit?usp=sharing
16,UncertainTea,0.55 +/- 0.02,0.62 +/- 0.03,0.79 +/- 0.02,0.61 +/- 0.02,2026-01-14 22:06:53+00:00,https://github.com/un-certain-tea/OpenADMET-ExpansionRx-Challenge
17,frozens,0.55 +/- 0.02,0.60 +/- 0.03,0.77 +/- 0.02,0.60 +/- 0.02,2026-01-19 17:50:53+00:00,
18,aglisman,0.56 +/- 0.02,0.59 +/- 0.04,0.78 +/- 0.02,0.61 +/- 0.02,2026-01-17 01:26:53+00:00,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
19,c-test,0.56 +/- 0.02,0.60 +/- 0.03,0.80 +/- 0.02,0.62 +/- 0.02,2026-01-19 12:12:25+00:00,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
20,Hydra,0.56 +/- 0.03,0.57 +/- 0.04,0.79 +/- 0.02,0.61 +/- 0.02,2026-01-19 06:22:06+00:00,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
21,beardy-polonium,0.56 +/- 0.02,0.60 +/- 0.03,0.79 +/- 0.02,0.62 +/- 0.02,2026-01-14 16:52:44+00:00,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
22,martin,0.56 +/- 0.03,0.58 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-22 12:49:41+00:00,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
23,robusta,0.57 +/- 0.02,0.58 +/- 0.04,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-16 06:55:47+00:00,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
24,chundu05,0.57 +/- 0.02,0.58 +/- 0.03,0.76 +/- 0.02,0.58 +/- 0.02,2026-01-18 16:58:10+00:00,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
25,temal,0.57 +/- 0.03,0.58 +/- 0.03,0.79 +/- 0.02,0.62 +/- 0.02,2026-01-18 14:47:41+00:00,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
26,okidoki,0.57 +/- 0.02,0.59 +/- 0.03,0.77 +/- 0.02,0.60 +/- 0.02,2026-01-19 08:03:43+00:00,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
27,echo,0.57 +/- 0.02,0.58 +/- 0.03,0.80 +/- 0.02,0.62 +/- 0.02,2026-01-18 10:28:44+00:00,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
28,nrosa1,0.57 +/- 0.02,0.58 +/- 0.04,0.78 +/- 0.02,0.60 +/- 0.02,2026-01-18 09:47:32+00:00,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
29,vaishnavi53,0.57 +/- 0.02,0.58 +/- 0.03,0.76 +/- 0.02,0.59 +/- 0.02,2026-01-19 18:27:34+00:00,https://docs.google.com/document/d/1LGw0CJGVm1hCqLDEkIms7YXPMnHH3LADeEmcWn5xwtI/edit?usp=sharing
30,JacksonBurns,0.57 +/- 0.02,0.58 +/- 0.03,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-19 13:57:23+00:00,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
31,20p1a,0.57 +/- 0.02,0.58 +/- 0.03,0.76 +/- 0.02,0.59 +/- 0.02,2026-01-19 07:23:50+00:00,
32,Proper,0.57 +/- 0.02,0.57 +/- 0.03,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-19 20:42:44+00:00,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
33,allligatar,0.57 +/- 0.02,0.58 +/- 0.03,0.76 +/- 0.02,0.59 +/- 0.02,2026-01-19 05:04:55+00:00,
34,test_sub,0.57 +/- 0.03,0.58 +/- 0.04,0.81 +/- 0.02,0.63 +/- 0.02,2026-01-19 10:32:35+00:00,
35,shum,0.57 +/- 0.03,0.55 +/- 0.04,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-18 18:11:50+00:00,
36,chiliflake,0.57 +/- 0.02,0.58 +/- 0.03,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-19 11:13:45+00:00,https://docs.google.com/document/d/e/2PACX-1vR3i2EDTBjTZRKv2EIU0HJeCZRVPHpRk4LQ_LKuexDPphwveWyVCLWNZECGrW7KXPL9ZqdGNApNWh37/pub
37,vgny,0.58 +/- 0.02,0.58 +/- 0.03,0.76 +/- 0.02,0.58 +/- 0.02,2026-01-17 07:35:51+00:00,
38,interstellar-explorer,0.58 +/- 0.03,0.55 +/- 0.04,0.78 +/- 0.02,0.61 +/- 0.02,2026-01-19 05:51:18+00:00,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
39,molairity,0.58 +/- 0.02,0.58 +/- 0.03,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-18 19:36:44+00:00,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
40,Ensem,0.58 +/- 0.02,0.57 +/- 0.03,0.79 +/- 0.02,0.62 +/- 0.02,2026-01-19 03:38:18+00:00,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
41,bl,0.58 +/- 0.02,0.58 +/- 0.03,0.78 +/- 0.02,0.60 +/- 0.02,2025-12-01 15:39:43+00:00,
42,combo,0.58 +/- 0.02,0.58 +/- 0.03,0.76 +/- 0.02,0.58 +/- 0.02,2026-01-19 14:47:29+00:00,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
43,blue-espresso,0.58 +/- 0.03,0.57 +/- 0.04,0.81 +/- 0.02,0.63 +/- 0.02,2026-01-17 12:53:39+00:00,
44,Shorku,0.58 +/- 0.02,0.57 +/- 0.03,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-19 15:50:52+00:00,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
45,Na123,0.58 +/- 0.03,0.56 +/- 0.03,0.79 +/- 0.02,0.61 +/- 0.02,2026-01-18 01:57:04+00:00,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
46,combo,0.58 +/- 0.02,0.56 +/- 0.03,0.75 +/- 0.02,0.57 +/- 0.02,2026-01-18 21:13:56+00:00,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
47,wikke69,0.59 +/- 0.02,0.56 +/- 0.04,0.75 +/- 0.02,0.58 +/- 0.02,2026-01-18 21:30:47+00:00,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
48,Universal8,0.59 +/- 0.02,0.56 +/- 0.03,0.78 +/- 0.02,0.60 +/- 0.02,2025-12-31 06:01:46+00:00,https://baseline model
49,anon123oft6,0.59 +/- 0.03,0.56 +/- 0.04,0.74 +/- 0.02,0.57 +/- 0.02,2026-01-20 00:10:43+00:00,
50,fusion,0.59 +/- 0.03,0.54 +/- 0.04,0.76 +/- 0.02,0.59 +/- 0.02,2026-01-18 19:24:11+00:00,
51,PrettyMuchMagic,0.59 +/- 0.02,0.56 +/- 0.04,0.76 +/- 0.02,0.59 +/- 0.02,2025-12-12 00:22:30+00:00,
52,tmp1234,0.59 +/- 0.03,0.55 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2026-01-19 23:36:28+00:00,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
53,xiangyan93,0.59 +/- 0.02,0.56 +/- 0.03,0.77 +/- 0.02,0.60 +/- 0.02,2026-01-06 15:01:13+00:00,
54,Mlzzzzz,0.60 +/- 0.02,0.54 +/- 0.03,0.74 +/- 0.02,0.56 +/- 0.02,2026-01-19 22:26:19+00:00,https://docs.google.com/document/d/1NsDLCBnDzkOVd4bWe7iVAiZ3y-4PUTF3DdlDlJy7j3o/edit?tab=t.0
55,WorkADMET,0.60 +/- 0.03,0.52 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2026-01-19 20:35:14+00:00,
56,mmahmedEW2,0.60 +/- 0.03,0.53 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-12 04:54:38+00:00,
57,linearregression,0.60 +/- 0.03,0.55 +/- 0.04,0.78 +/- 0.02,0.60 +/- 0.02,2026-01-17 17:18:23+00:00,
58,arabica,0.60 +/- 0.03,0.52 +/- 0.04,0.77 +/- 0.02,0.59 +/- 0.02,2026-01-17 00:58:19+00:00,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
59,mechaman,0.60 +/- 0.03,0.52 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2026-01-19 22:51:01+00:00,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
60,trial,0.60 +/- 0.03,0.52 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-01 23:51:59+00:00,
61,adam3*,0.60 +/- 0.03,0.53 +/- 0.04,0.77 +/- 0.02,0.59 +/- 0.02,2025-11-14 06:27:54+00:00,
62,Madie31,0.60 +/- 0.03,0.54 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-17 17:39:52+00:00,
63,madie31,0.60 +/- 0.03,0.54 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-18 15:58:13+00:00,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
64,orange-scuba,0.61 +/- 0.03,0.56 +/- 0.03,0.80 +/- 0.02,0.62 +/- 0.02,2026-01-19 21:55:05+00:00,
65,median3,0.61 +/- 0.02,0.53 +/- 0.03,0.74 +/- 0.02,0.56 +/- 0.02,2026-01-19 11:30:23+00:00,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
66,m0vcqv8w,0.61 +/- 0.03,0.54 +/- 0.04,0.77 +/- 0.02,0.60 +/- 0.02,2025-12-20 05:20:20+00:00,
67,azSina,0.61 +/- 0.02,0.54 +/- 0.03,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-23 21:47:04+00:00,
68,pequqa,0.61 +/- 0.02,0.55 +/- 0.03,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-16 21:55:44+00:00,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
69,insider3819,0.61 +/- 0.03,0.50 +/- 0.04,0.71 +/- 0.02,0.54 +/- 0.02,2026-01-13 15:11:39+00:00,
70,liberica,0.61 +/- 0.03,0.50 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2026-01-17 01:18:46+00:00,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
71,briford,0.61 +/- 0.03,0.53 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2026-01-07 14:37:08+00:00,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
72,Universal1,0.61 +/- 0.02,0.52 +/- 0.03,0.74 +/- 0.02,0.56 +/- 0.02,2025-11-15 15:42:19+00:00,https://ensemble baseline model
73,ZaZdrowie,0.61 +/- 0.02,0.54 +/- 0.03,0.75 +/- 0.02,0.57 +/- 0.02,2026-01-17 21:19:08+00:00,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
74,tibo,0.61 +/- 0.03,0.53 +/- 0.04,0.73 +/- 0.02,0.56 +/- 0.02,2026-01-18 19:02:39+00:00,
75,wise,0.62 +/- 0.03,0.51 +/- 0.04,0.76 +/- 0.02,0.59 +/- 0.02,2026-01-06 06:25:25+00:00,
76,a98096570,0.62 +/- 0.03,0.50 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-10 14:37:04+00:00,
77,everest,0.62 +/- 0.03,0.54 +/- 0.03,0.79 +/- 0.02,0.60 +/- 0.02,2026-01-19 19:59:01+00:00,
78,Testing,0.62 +/- 0.02,0.52 +/- 0.03,0.76 +/- 0.02,0.59 +/- 0.02,2026-01-12 04:27:54+00:00,
79,rappleton,0.62 +/- 0.02,0.52 +/- 0.03,0.76 +/- 0.02,0.59 +/- 0.02,2025-11-26 14:45:57+00:00,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
80,ADMuppET,0.62 +/- 0.03,0.51 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-02 18:54:11+00:00,
81,discoflow,0.62 +/- 0.03,0.50 +/- 0.04,0.72 +/- 0.02,0.55 +/- 0.02,2025-12-14 22:21:59+00:00,
82,mike,0.62 +/- 0.03,0.50 +/- 0.04,0.76 +/- 0.02,0.59 +/- 0.02,2026-01-17 15:14:49+00:00,
83,lola,0.62 +/- 0.03,0.50 +/- 0.04,0.78 +/- 0.02,0.61 +/- 0.02,2026-01-09 07:54:23+00:00,
84,insider,0.62 +/- 0.03,0.49 +/- 0.04,0.71 +/- 0.02,0.54 +/- 0.02,2026-01-13 14:30:54+00:00,
85,KakukakuADMET,0.62 +/- 0.03,0.51 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-19 08:55:59+00:00,
86,WakuwakuADMET,0.62 +/- 0.03,0.51 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-19 09:35:25+00:00,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
87,c_k2,0.63 +/- 0.03,0.51 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2026-01-12 13:33:38+00:00,
88,kermt-t,0.63 +/- 0.03,0.48 +/- 0.04,0.76 +/- 0.02,0.59 +/- 0.02,2026-01-19 04:47:36+00:00,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
89,UkiukiADMET,0.63 +/- 0.03,0.50 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-19 04:09:46+00:00,
90,DMakarov,0.63 +/- 0.03,0.49 +/- 0.04,0.70 +/- 0.02,0.53 +/- 0.02,2026-01-19 16:31:03+00:00,https://github.com/MDMISC/OpenADMET
91,rogerbyrne25,0.63 +/- 0.02,0.49 +/- 0.04,0.71 +/- 0.02,0.54 +/- 0.02,2026-01-08 17:20:27+00:00,
92,ranga31489,0.63 +/- 0.03,0.47 +/- 0.05,0.73 +/- 0.02,0.56 +/- 0.02,2026-01-09 19:18:03+00:00,
93,kaushal-mind-lab,0.63 +/- 0.03,0.50 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-12 17:48:56+00:00,
94,yan,0.63 +/- 0.03,0.47 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2026-01-09 07:30:45+00:00,
95,mmahmedEY,0.63 +/- 0.02,0.51 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-12 02:00:13+00:00,
96,DMingHF,0.63 +/- 0.03,0.50 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-13 00:04:01+00:00,
97,VVDCompChem,0.63 +/- 0.03,0.50 +/- 0.04,0.73 +/- 0.02,0.56 +/- 0.02,2025-11-13 23:49:21+00:00,
98,chemelL,0.64 +/- 0.02,0.52 +/- 0.03,0.73 +/- 0.02,0.56 +/- 0.02,2026-01-16 02:53:03+00:00,
99,Team AIDD,0.64 +/- 0.03,0.49 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2026-01-19 07:48:31+00:00,
100,yk_tp,0.64 +/- 0.02,0.50 +/- 0.03,0.71 +/- 0.02,0.53 +/- 0.02,2026-01-19 01:13:51+00:00,
101,diliadis,0.64 +/- 0.02,0.51 +/- 0.03,0.72 +/- 0.02,0.55 +/- 0.02,2026-01-19 08:14:19+00:00,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
102,neeravkaushal,0.64 +/- 0.03,0.50 +/- 0.04,0.74 +/- 0.02,0.56 +/- 0.02,2025-12-01 21:28:29+00:00,
103,evax_h_6,0.64 +/- 0.03,0.47 +/- 0.04,0.75 +/- 0.02,0.58 +/- 0.02,2026-01-18 04:07:44+00:00,
104,raytuner,0.64 +/- 0.03,0.47 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2026-01-12 20:54:56+00:00,
105,ADMET42,0.64 +/- 0.03,0.46 +/- 0.05,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-13 00:07:23+00:00,
106,dodo_fx,0.64 +/- 0.03,0.48 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2025-12-11 14:38:19+00:00,
107,CNMP_counts,0.64 +/- 0.03,0.50 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-22 14:22:30+00:00,
108,admet_common2,0.64 +/- 0.03,0.45 +/- 0.05,0.76 +/- 0.02,0.58 +/- 0.02,2026-01-06 07:32:12+00:00,
109,leeherman,0.65 +/- 0.03,0.48 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-26 17:46:51+00:00,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
110,theZone,0.65 +/- 0.03,0.49 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2026-01-19 21:30:00+00:00,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
111,KagakuData,0.65 +/- 0.02,0.49 +/- 0.04,0.71 +/- 0.02,0.53 +/- 0.02,2025-12-01 03:45:30+00:00,https://github.com/KagakuAI/QSARcons
112,jj,0.65 +/- 0.03,0.47 +/- 0.04,0.71 +/- 0.02,0.53 +/- 0.02,2026-01-18 20:47:42+00:00,
113,pre-hammer,0.65 +/- 0.03,0.46 +/- 0.04,0.70 +/- 0.03,0.53 +/- 0.02,2026-01-16 01:06:54+00:00,
114,lifaen,0.65 +/- 0.03,0.45 +/- 0.04,0.70 +/- 0.02,0.53 +/- 0.02,2026-01-17 20:18:13+00:00,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
115,shrika-jeannie,0.65 +/- 0.03,0.49 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2025-11-10 06:13:34+00:00,
116,Q_Accel,0.65 +/- 0.03,0.44 +/- 0.05,0.72 +/- 0.02,0.55 +/- 0.02,2026-01-16 21:58:08+00:00,https://docs.google.com/document/d/1f5yJKuEwGoVsXdp3lB_lnuruEi86-M7SNyhrRkBRbDs/edit?usp=sharing
117,3131u06,0.65 +/- 0.03,0.47 +/- 0.04,0.71 +/- 0.02,0.53 +/- 0.02,2025-12-18 18:49:08+00:00,
118,vibdsobeyens,0.65 +/- 0.03,0.44 +/- 0.05,0.68 +/- 0.03,0.51 +/- 0.02,2026-01-16 18:07:57+00:00,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
119,defaulting_svdkl,0.66 +/- 0.03,0.46 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-08 16:38:18+00:00,
120,jeremy,0.66 +/- 0.03,0.47 +/- 0.04,0.71 +/- 0.02,0.54 +/- 0.02,2026-01-18 10:58:29+00:00,https://github.com/jeremycheminf/openadmet_scripts/tree/main
121,pedal,0.66 +/- 0.03,0.49 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-11-10 16:04:43+00:00,
122,ch-2026-6,0.66 +/- 0.03,0.45 +/- 0.04,0.73 +/- 0.02,0.55 +/- 0.02,2026-01-11 01:40:04+00:00,
123,mmahmedEYA,0.66 +/- 0.03,0.42 +/- 0.04,0.71 +/- 0.02,0.54 +/- 0.02,2025-12-12 04:45:23+00:00,
124,mmahmedEW,0.66 +/- 0.03,0.49 +/- 0.04,0.75 +/- 0.02,0.57 +/- 0.02,2025-12-12 18:36:56+00:00,
125,CNMP_en,0.66 +/- 0.03,0.48 +/- 0.04,0.70 +/- 0.03,0.52 +/- 0.02,2025-12-15 18:22:56+00:00,
126,Kn,0.66 +/- 0.03,0.41 +/- 0.04,0.71 +/- 0.02,0.54 +/- 0.02,2025-12-16 17:38:45+00:00,
127,icedchai,0.66 +/- 0.03,0.47 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-11-10 15:28:18+00:00,
128,Leezard,0.66 +/- 0.03,0.25 +/- 0.26,0.72 +/- 0.02,0.54 +/- 0.02,2026-01-18 22:37:40+00:00,https://docs.google.com/document/d/15rd0Yz1CjgvndJF0rfWvJRFhz6FAc5QCc8x1nlr__sA/edit?tab=t.0#heading=h.6pqvt9f1ijp7
129,mbrandon,0.66 +/- 0.03,0.47 +/- 0.04,0.72 +/- 0.03,0.54 +/- 0.02,2026-01-09 19:02:00+00:00,
130,mmahmedEG,0.66 +/- 0.03,0.45 +/- 0.04,0.76 +/- 0.02,0.58 +/- 0.02,2025-12-12 18:38:46+00:00,
131,hazelnut8,0.66 +/- 0.03,0.41 +/- 0.04,0.70 +/- 0.02,0.53 +/- 0.02,2025-12-13 06:55:19+00:00,
132,val_a4,0.67 +/- 0.03,0.47 +/- 0.04,0.72 +/- 0.02,0.54 +/- 0.02,2025-12-12 10:46:31+00:00,
133,mm_drug_20,0.67 +/- 0.03,0.47 +/- 0.04,0.68 +/- 0.03,0.51 +/- 0.02,2026-01-19 10:09:22+00:00,
