rank,user,MA-RAE,R2,Spearman R,Kendall's Tau,submission time,model details
217,jaypo,0.74 +/- 0.03,0.37 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-12-06 21:29:08+00:00,
218,ch-rt-ms,0.74 +/- 0.03,0.36 +/- 0.05,0.72 +/- 0.02,0.55 +/- 0.02,2026-01-19 19:47:24+00:00,
219,pkzheng,0.74 +/- 0.03,0.35 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-12-01 14:41:09+00:00,
220,cc54,0.74 +/- 0.03,0.30 +/- 0.06,0.67 +/- 0.03,0.50 +/- 0.02,2026-01-18 06:55:04+00:00,
221,pykel,0.75 +/- 0.03,0.28 +/- 0.05,0.64 +/- 0.03,0.47 +/- 0.02,2026-01-19 07:11:05+00:00,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
222,dodo_1901,0.75 +/- 0.03,0.37 +/- 0.04,0.65 +/- 0.03,0.47 +/- 0.02,2026-01-18 18:08:00+00:00,
223,blasphemous_pakhlava,0.75 +/- 0.03,0.28 +/- 0.06,0.67 +/- 0.03,0.50 +/- 0.02,2025-12-09 11:43:05+00:00,
224,feanor,0.75 +/- 0.03,0.33 +/- 0.04,0.63 +/- 0.03,0.46 +/- 0.02,2026-01-15 22:14:53+00:00,
225,all the assays,0.75 +/- 0.02,0.35 +/- 0.04,0.69 +/- 0.03,0.51 +/- 0.02,2025-11-12 19:36:26+00:00,
226,Jastok,0.75 +/- 0.02,0.35 +/- 0.03,0.64 +/- 0.03,0.47 +/- 0.02,2025-10-28 15:58:03+00:00,
227,roshkjr,0.75 +/- 0.03,0.31 +/- 0.04,0.64 +/- 0.03,0.47 +/- 0.02,2025-11-29 22:15:30+00:00,
228,Shahi007,0.75 +/- 0.03,0.34 +/- 0.04,0.68 +/- 0.03,0.50 +/- 0.02,2026-01-09 17:20:45+00:00,
229,KagakuAI,0.75 +/- 0.03,0.32 +/- 0.04,0.61 +/- 0.03,0.44 +/- 0.02,2025-11-11 08:43:38+00:00,
230,testingv7,0.75 +/- 0.03,0.31 +/- 0.05,0.62 +/- 0.03,0.45 +/- 0.02,2025-10-31 23:38:52+00:00,
231,zero,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2025-11-01 18:28:54+00:00,
232,sloppy,0.76 +/- 0.03,0.36 +/- 0.04,0.62 +/- 0.03,0.45 +/- 0.02,2026-01-15 15:49:33+00:00,
