final rank,initial rank,user,CLD,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
63,169,itetko,O,0.3133 ± 0.0030,0.7115 ± 0.0079,0.3908 ± 0.0117,0.6868 ± 0.0076,0.5124 ± 0.0066,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
64,170,davidgiganti,O,0.3132 ± 0.0033,0.7129 ± 0.0075,0.3506 ± 0.0130,0.6486 ± 0.0089,0.4820 ± 0.0073,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
65,150,KNIMEST,P,0.3115 ± 0.0033,0.7184 ± 0.0102,0.3507 ± 0.0180,0.6707 ± 0.0081,0.4969 ± 0.0068,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
66,167,iCsmiles,P,0.3154 ± 0.0032,0.7184 ± 0.0079,0.3490 ± 0.0128,0.6424 ± 0.0079,0.4719 ± 0.0068,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
67,156,EGabrielle,P,0.3121 ± 0.0030,0.7185 ± 0.0082,0.4004 ± 0.0113,0.6581 ± 0.0082,0.4846 ± 0.0070,https://github.com/etiu/Openadmet_competition_v2
68,148,AzizA-A,Q,0.3240 ± 0.0031,0.7238 ± 0.0084,0.3827 ± 0.0125,0.6548 ± 0.0081,0.4837 ± 0.0070,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
69,160,tespharma,R,0.3156 ± 0.0031,0.7258 ± 0.0094,0.3508 ± 0.0148,0.6706 ± 0.0083,0.4961 ± 0.0069,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
70,139,Kalen_UCL,R,0.3224 ± 0.0030,0.7260 ± 0.0087,0.3918 ± 0.0119,0.6586 ± 0.0078,0.4839 ± 0.0067,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
71,178,eq_az,"R,S",0.3171 ± 0.0030,0.7272 ± 0.0075,0.3850 ± 0.0113,0.6507 ± 0.0080,0.4806 ± 0.0069,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
72,152,ellieberry,S,0.3153 ± 0.0030,0.7284 ± 0.0087,0.3813 ± 0.0128,0.6525 ± 0.0083,0.4828 ± 0.0070,https://github.com/etiu/Openadmet_competition_v2
73,155,tiuel,T,0.3262 ± 0.0032,0.7328 ± 0.0088,0.3741 ± 0.0137,0.6415 ± 0.0088,0.4710 ± 0.0074,https://github.com/etiu/OpenAdmet_competition
74,176,jonswain,T,0.3262 ± 0.0033,0.7341 ± 0.0086,0.3352 ± 0.0140,0.6119 ± 0.0089,0.4489 ± 0.0072,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
75,189,3dprint,U,0.3269 ± 0.0033,0.7409 ± 0.0072,0.3251 ± 0.0121,0.5778 ± 0.0085,0.4178 ± 0.0068,https://tinyurl.com/mnb2csbe
76,221,pykel,U,0.3176 ± 0.0034,0.7417 ± 0.0086,0.3023 ± 0.0161,0.6205 ± 0.0090,0.4581 ± 0.0073,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
77,201,wleco22,V,0.3328 ± 0.0033,0.7557 ± 0.0092,0.3329 ± 0.0149,0.6315 ± 0.0087,0.4619 ± 0.0073,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
78,190,femisegvn,W,0.3420 ± 0.0033,0.7614 ± 0.0091,0.3253 ± 0.0148,0.6205 ± 0.0086,0.4512 ± 0.0072,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
79,240,Kandagalla,X,0.3431 ± 0.0035,0.7716 ± 0.0090,0.2747 ± 0.0157,0.5789 ± 0.0096,0.4152 ± 0.0077,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
80,247,csaba-percept-bio,Y,0.3405 ± 0.0033,0.7736 ± 0.0081,0.2929 ± 0.0129,0.5988 ± 0.0089,0.4331 ± 0.0074,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
