final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
36,Artichoke,0.2598 ± 0.0061,0.7264 ± 0.0177,0.2748 ± 0.0381,0.5857 ± 0.0227,0.4454 ± 0.0167,https://docs.google.com/document/d/1Mbw0uKDZsQ8QAnQO5uBAdS8x3Z-UTfMhP1fqx2pqTD8/edit?usp=sharing
37,mkruege,0.2607 ± 0.0053,0.7290 ± 0.0191,0.3279 ± 0.0303,0.6779 ± 0.0146,0.4929 ± 0.0124,https://doi.org/10.17617/3.GIKHJL
38,echo,0.2645 ± 0.0049,0.7396 ± 0.0179,0.3670 ± 0.0260,0.7345 ± 0.0128,0.5415 ± 0.0116,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
39,massazahdeh,0.2653 ± 0.0045,0.7418 ± 0.0151,0.3928 ± 0.0210,0.6857 ± 0.0145,0.4986 ± 0.0124,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
40,Ensem,0.2655 ± 0.0049,0.7424 ± 0.0180,0.3592 ± 0.0264,0.7332 ± 0.0129,0.5402 ± 0.0116,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
41,Kalen_UCL,0.2661 ± 0.0047,0.7440 ± 0.0146,0.3743 ± 0.0219,0.6156 ± 0.0162,0.4396 ± 0.0131,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
42,Mlzzzzz,0.2666 ± 0.0047,0.7454 ± 0.0148,0.3736 ± 0.0225,0.6234 ± 0.0162,0.4427 ± 0.0128,https://docs.google.com/document/d/1NsDLCBnDzkOVd4bWe7iVAiZ3y-4PUTF3DdlDlJy7j3o/edit?tab=t.0
43,combo,0.2667 ± 0.0046,0.7456 ± 0.0149,0.3825 ± 0.0213,0.6693 ± 0.0141,0.4801 ± 0.0118,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
44,madie31,0.2667 ± 0.0046,0.7456 ± 0.0149,0.3825 ± 0.0213,0.6693 ± 0.0141,0.4801 ± 0.0118,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
45,pequqa,0.2672 ± 0.0048,0.7472 ± 0.0151,0.3696 ± 0.0225,0.6267 ± 0.0159,0.4477 ± 0.0128,https://docs.google.com/document/d/12ZIbady_SwV9ICSvMWcKBPoGAZxVbn5_f-xpMaK6iJA/edit?usp=sharing
46,rappleton,0.2687 ± 0.0048,0.7513 ± 0.0168,0.3499 ± 0.0255,0.6792 ± 0.0150,0.4941 ± 0.0128,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
47,temal,0.2688 ± 0.0050,0.7516 ± 0.0174,0.3412 ± 0.0255,0.7167 ± 0.0129,0.5232 ± 0.0115,https://docs.google.com/document/d/1IqyTGGB2FLgYpptyst0XdTmZCHMETdX3/edit?usp=sharing&ouid=109801295390196144877&rtpof=true&sd=true
48,Na123,0.2688 ± 0.0051,0.7518 ± 0.0186,0.3365 ± 0.0280,0.7309 ± 0.0130,0.5380 ± 0.0117,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
49,AzizA-A,0.2701 ± 0.0046,0.7551 ± 0.0142,0.3752 ± 0.0210,0.6422 ± 0.0149,0.4589 ± 0.0122,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
50,chiliflake,0.2708 ± 0.0055,0.7573 ± 0.0176,0.2939 ± 0.0278,0.6592 ± 0.0148,0.4730 ± 0.0122,https://docs.google.com/document/d/e/2PACX-1vR3i2EDTBjTZRKv2EIU0HJeCZRVPHpRk4LQ_LKuexDPphwveWyVCLWNZECGrW7KXPL9ZqdGNApNWh37/pub
51,rez3vil,0.2714 ± 0.0045,0.7590 ± 0.0136,0.3781 ± 0.0202,0.6492 ± 0.0153,0.4661 ± 0.0126,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
52,tiuel,0.2721 ± 0.0047,0.7608 ± 0.0146,0.3515 ± 0.0220,0.6197 ± 0.0156,0.4407 ± 0.0126,https://github.com/etiu/OpenAdmet_competition
53,median3,0.2752 ± 0.0046,0.7694 ± 0.0147,0.3558 ± 0.0212,0.6697 ± 0.0143,0.4810 ± 0.0119,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
54,beardy-polonium,0.2761 ± 0.0052,0.7719 ± 0.0175,0.2860 ± 0.0284,0.6689 ± 0.0147,0.4842 ± 0.0123,https://drive.google.com/file/d/163hHzi_YIoM26sEFSTQ3Wo-2MzInuHeM/view?usp=drive_link
55,boltzmann4,0.2764 ± 0.0047,0.7729 ± 0.0148,0.3376 ± 0.0220,0.6576 ± 0.0152,0.4742 ± 0.0126,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
56,diliadis,0.2767 ± 0.0050,0.7736 ± 0.0151,0.3224 ± 0.0225,0.6115 ± 0.0161,0.4336 ± 0.0127,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
57,WakuwakuADMET,0.2772 ± 0.0053,0.7750 ± 0.0189,0.2699 ± 0.0294,0.6195 ± 0.0165,0.4439 ± 0.0134,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
58,ZaZdrowie,0.2780 ± 0.0047,0.7772 ± 0.0146,0.3413 ± 0.0218,0.6083 ± 0.0166,0.4338 ± 0.0132,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
59,EGabrielle,0.2786 ± 0.0047,0.7789 ± 0.0142,0.3326 ± 0.0216,0.6097 ± 0.0158,0.4312 ± 0.0126,https://github.com/etiu/Openadmet_competition_v2
60,Q_Accel,0.2792 ± 0.0050,0.7808 ± 0.0157,0.3093 ± 0.0244,0.5890 ± 0.0164,0.4151 ± 0.0129,https://docs.google.com/document/d/1f5yJKuEwGoVsXdp3lB_lnuruEi86-M7SNyhrRkBRbDs/edit?usp=sharing
61,Proper,0.2801 ± 0.0048,0.7833 ± 0.0158,0.3194 ± 0.0238,0.6524 ± 0.0147,0.4647 ± 0.0120,https://docs.google.com/document/d/103DSkl24b98QG8McQmDVck-3n66LbIPml6r8ND_NldM/edit?usp=sharing
62,arabica,0.2805 ± 0.0053,0.7843 ± 0.0198,0.2850 ± 0.0301,0.7441 ± 0.0120,0.5477 ± 0.0111,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
63,femisegvn,0.2856 ± 0.0048,0.7986 ± 0.0143,0.2973 ± 0.0222,0.5820 ± 0.0165,0.4084 ± 0.0128,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
64,ellieberry,0.2858 ± 0.0048,0.7991 ± 0.0144,0.3007 ± 0.0223,0.5784 ± 0.0165,0.4045 ± 0.0128,https://github.com/etiu/Openadmet_competition_v2
65,liberica,0.2868 ± 0.0052,0.8020 ± 0.0196,0.2643 ± 0.0292,0.7482 ± 0.0117,0.5513 ± 0.0108,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
66,riemann,0.2908 ± 0.0053,0.8131 ± 0.0197,0.2256 ± 0.0314,0.6424 ± 0.0152,0.4604 ± 0.0124,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
67,Harshit494,0.2910 ± 0.0049,0.8137 ± 0.0148,0.2781 ± 0.0232,0.5942 ± 0.0162,0.4180 ± 0.0128,https://github.com/research-al/admet-challenge
68,tespharma,0.2916 ± 0.0053,0.8155 ± 0.0184,0.2375 ± 0.0287,0.6402 ± 0.0152,0.4539 ± 0.0123,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
69,mechaman,0.2926 ± 0.0059,0.8182 ± 0.0199,0.2007 ± 0.0342,0.6456 ± 0.0159,0.4612 ± 0.0130,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
70,vibeADMET,0.2946 ± 0.0051,0.8238 ± 0.0153,0.2493 ± 0.0242,0.5142 ± 0.0188,0.3582 ± 0.0141,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
71,wleco22,0.2977 ± 0.0050,0.8324 ± 0.0152,0.2453 ± 0.0239,0.5877 ± 0.0167,0.4126 ± 0.0130,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
72,mtqspr_pcamor,0.2997 ± 0.0062,0.8380 ± 0.0228,0.1272 ± 0.0397,0.6375 ± 0.0160,0.4575 ± 0.0131,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
73,itetko,0.3000 ± 0.0051,0.8388 ± 0.0176,0.2247 ± 0.0266,0.6517 ± 0.0148,0.4655 ± 0.0121,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
74,rymsnyde,0.3005 ± 0.0060,0.8403 ± 0.0199,0.1360 ± 0.0350,0.5015 ± 0.0206,0.3535 ± 0.0155,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
75,DMakarov,0.3005 ± 0.0055,0.8403 ± 0.0182,0.1844 ± 0.0302,0.5376 ± 0.0176,0.3719 ± 0.0131,https://github.com/MDMISC/OpenADMET
76,Discoverybytes,0.3030 ± 0.0052,0.8471 ± 0.0157,0.2154 ± 0.0250,0.5301 ± 0.0183,0.3686 ± 0.0139,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
77,Hydra,0.3076 ± 0.0080,0.8601 ± 0.0239,-0.1478 ± 0.0702,0.5428 ± 0.0234,0.4146 ± 0.0167,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
78,interstellar-explorer,0.3083 ± 0.0066,0.8621 ± 0.0215,0.0344 ± 0.0445,0.5917 ± 0.0198,0.4347 ± 0.0150,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
79,3dprint,0.3090 ± 0.0054,0.8639 ± 0.0160,0.1793 ± 0.0279,0.4955 ± 0.0188,0.3422 ± 0.0139,https://tinyurl.com/mnb2csbe
80,jeremy,0.3091 ± 0.0049,0.8643 ± 0.0150,0.2063 ± 0.0233,0.6391 ± 0.0150,0.4537 ± 0.0123,https://github.com/jeremycheminf/openadmet_scripts/tree/main
81,csaba-percept-bio,0.3125 ± 0.0051,0.8739 ± 0.0153,0.1805 ± 0.0240,0.4976 ± 0.0187,0.3450 ± 0.0138,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
82,tomatpercept,0.3125 ± 0.0051,0.8739 ± 0.0153,0.1805 ± 0.0240,0.4976 ± 0.0187,0.3450 ± 0.0138,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
83,sudhir2016,0.3126 ± 0.0059,0.8741 ± 0.0206,0.0806 ± 0.0369,0.5160 ± 0.0195,0.3625 ± 0.0148,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
84,jonswain,0.3142 ± 0.0059,0.8785 ± 0.0180,0.0942 ± 0.0319,0.4760 ± 0.0192,0.3297 ± 0.0142,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
85,vibdsobeyens,0.3155 ± 0.0059,0.8821 ± 0.0195,0.0935 ± 0.0341,0.4725 ± 0.0192,0.3237 ± 0.0139,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
86,AIDDLin,0.3276 ± 0.0057,0.9161 ± 0.0177,0.0662 ± 0.0306,0.5035 ± 0.0191,0.3497 ± 0.0143,https://github.com/linshaolong11/CAMF.git
87,SystemsCBLab,0.3307 ± 0.0055,0.9247 ± 0.0161,0.0735 ± 0.0281,0.4148 ± 0.0210,0.2851 ± 0.0150,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
88,kermt-t,0.3312 ± 0.0060,0.9261 ± 0.0206,0.0183 ± 0.0345,0.5731 ± 0.0167,0.3986 ± 0.0128,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
89,lifaen,0.3347 ± 0.0063,0.9359 ± 0.0206,-0.0239 ± 0.0383,0.5009 ± 0.0191,0.3435 ± 0.0141,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
90,Kandagalla,0.3422 ± 0.0060,0.9567 ± 0.0188,-0.0305 ± 0.0334,0.4634 ± 0.0203,0.3171 ± 0.0146,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
