final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
54,chundu05,0.3680 ± 0.0075,0.6410 ± 0.0157,0.4485 ± 0.0253,0.5759 ± 0.0151,0.4041 ± 0.0118,https://docs.google.com/document/d/1DMiIxDK20FzTZgmBoZsy_FQw0iJGHhZYAhiNAc_SV_Q/edit?tab=t.0#heading=h.s2yx44dt2a2z
55,rappleton,0.3746 ± 0.0067,0.6527 ± 0.0173,0.5035 ± 0.0212,0.6031 ± 0.0146,0.4239 ± 0.0117,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
56,EGabrielle,0.3774 ± 0.0071,0.6574 ± 0.0163,0.4631 ± 0.0227,0.5769 ± 0.0146,0.4015 ± 0.0114,https://github.com/etiu/Openadmet_competition_v2
57,itetko,0.3774 ± 0.0066,0.6576 ± 0.0158,0.5016 ± 0.0199,0.5919 ± 0.0147,0.4174 ± 0.0117,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
58,ellieberry,0.3775 ± 0.0073,0.6576 ± 0.0149,0.4574 ± 0.0211,0.5402 ± 0.0155,0.3751 ± 0.0119,https://github.com/etiu/Openadmet_competition_v2
59,theZone,0.3801 ± 0.0065,0.6622 ± 0.0180,0.5069 ± 0.0221,0.6150 ± 0.0142,0.4338 ± 0.0116,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
60,iCsmiles,0.3808 ± 0.0086,0.6632 ± 0.0092,0.3566 ± 0.0174,0.5464 ± 0.0165,0.3810 ± 0.0126,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
61,wikke69,0.3808 ± 0.0067,0.6634 ± 0.0164,0.4874 ± 0.0201,0.5952 ± 0.0148,0.4207 ± 0.0118,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
62,3dprint,0.3820 ± 0.0096,0.6653 ± 0.0104,0.2818 ± 0.0195,0.5014 ± 0.0175,0.3436 ± 0.0130,https://tinyurl.com/mnb2csbe
63,diliadis,0.3827 ± 0.0067,0.6667 ± 0.0145,0.4755 ± 0.0186,0.5608 ± 0.0153,0.3917 ± 0.0117,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
64,riemann,0.3863 ± 0.0085,0.6728 ± 0.0101,0.3627 ± 0.0168,0.5345 ± 0.0164,0.3736 ± 0.0125,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
65,agitter,0.3896 ± 0.0079,0.6788 ± 0.0198,0.4093 ± 0.0296,0.5396 ± 0.0166,0.3788 ± 0.0127,https://github.com/agitter/openadmet-expansionrx-challenge
66,latticetower,0.4007 ± 0.0090,0.6979 ± 0.0135,0.2889 ± 0.0240,0.4461 ± 0.0183,0.3056 ± 0.0132,https://github.com/latticetower/chemney
67,eq_az,0.4007 ± 0.0071,0.6982 ± 0.0169,0.4298 ± 0.0229,0.5331 ± 0.0165,0.3712 ± 0.0126,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
68,Kandagalla,0.4021 ± 0.0082,0.7005 ± 0.0143,0.3610 ± 0.0234,0.4410 ± 0.0184,0.3043 ± 0.0135,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
69,tespharma,0.4023 ± 0.0076,0.7009 ± 0.0201,0.4058 ± 0.0281,0.5896 ± 0.0152,0.4132 ± 0.0119,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
70,tomatpercept,0.4034 ± 0.0084,0.7026 ± 0.0137,0.3435 ± 0.0233,0.4581 ± 0.0180,0.3166 ± 0.0132,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
71,csaba-percept-bio,0.4034 ± 0.0084,0.7026 ± 0.0137,0.3435 ± 0.0233,0.4581 ± 0.0180,0.3166 ± 0.0132,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
72,rez3vil,0.4040 ± 0.0070,0.7038 ± 0.0174,0.4308 ± 0.0239,0.5357 ± 0.0162,0.3741 ± 0.0124,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
73,jonswain,0.4065 ± 0.0073,0.7081 ± 0.0167,0.4123 ± 0.0227,0.5216 ± 0.0168,0.3642 ± 0.0128,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
74,davidgiganti,0.4090 ± 0.0097,0.7123 ± 0.0071,0.2289 ± 0.0164,0.5079 ± 0.0166,0.3522 ± 0.0124,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
75,jeremy,0.4103 ± 0.0062,0.7148 ± 0.0165,0.4659 ± 0.0190,0.5954 ± 0.0142,0.4180 ± 0.0114,https://github.com/jeremycheminf/openadmet_scripts/tree/main
76,KagakuData,0.4109 ± 0.0075,0.7159 ± 0.0184,0.3843 ± 0.0288,0.5569 ± 0.0159,0.3915 ± 0.0122,https://github.com/KagakuAI/QSARcons
77,AIDDLin,0.4157 ± 0.0087,0.7240 ± 0.0099,0.2994 ± 0.0142,0.5094 ± 0.0162,0.3518 ± 0.0120,https://github.com/linshaolong11/CAMF.git
78,massazahdeh,0.4228 ± 0.0100,0.7366 ± 0.0233,0.1448 ± 0.1495,0.5772 ± 0.0154,0.4055 ± 0.0121,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
79,rymsnyde,0.4243 ± 0.0092,0.7391 ± 0.0189,0.2266 ± 0.0332,0.4457 ± 0.0171,0.3065 ± 0.0124,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
80,mkruege,0.4299 ± 0.0097,0.7490 ± 0.0246,0.2145 ± 0.0462,0.5545 ± 0.0159,0.3881 ± 0.0123,https://doi.org/10.17617/3.GIKHJL
81,leeherman,0.4299 ± 0.0078,0.7491 ± 0.0209,0.3396 ± 0.0291,0.5079 ± 0.0168,0.3529 ± 0.0126,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
82,wleco22,0.4364 ± 0.0069,0.7603 ± 0.0176,0.3836 ± 0.0213,0.5193 ± 0.0166,0.3603 ± 0.0125,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
83,Kalen_UCL,0.4385 ± 0.0074,0.7641 ± 0.0202,0.3531 ± 0.0274,0.5399 ± 0.0162,0.3773 ± 0.0123,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
84,SystemsCBLab,0.4407 ± 0.0071,0.7677 ± 0.0143,0.3612 ± 0.0176,0.5124 ± 0.0160,0.3539 ± 0.0120,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
85,Discoverybytes,0.4520 ± 0.0082,0.7874 ± 0.0183,0.2741 ± 0.0281,0.4447 ± 0.0183,0.3106 ± 0.0135,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
86,XeonChem,0.4625 ± 0.0102,0.8057 ± 0.0227,0.0779 ± 0.0420,0.4614 ± 0.0173,0.3180 ± 0.0126,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
87,tiuel,0.4691 ± 0.0071,0.8174 ± 0.0208,0.3116 ± 0.0267,0.5092 ± 0.0165,0.3525 ± 0.0123,https://github.com/etiu/OpenAdmet_competition
88,sudhir2016,0.4718 ± 0.0092,0.8219 ± 0.0194,0.1611 ± 0.0316,0.4410 ± 0.0181,0.3029 ± 0.0131,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
89,boltzmann_xgb,0.4735 ± 0.0073,0.8249 ± 0.0184,0.2690 ± 0.0260,0.4825 ± 0.0171,0.3348 ± 0.0126,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
90,eachanjohnson,0.4737 ± 0.0074,0.8253 ± 0.0216,0.2863 ± 0.0296,0.5243 ± 0.0159,0.3649 ± 0.0120,https://github.com/eachanjohnson/challenge-2601-openadmet
91,Harshit494,0.4757 ± 0.0071,0.8289 ± 0.0204,0.2969 ± 0.0263,0.4834 ± 0.0168,0.3332 ± 0.0125,https://github.com/research-al/admet-challenge
92,femisegvn,0.4869 ± 0.0073,0.8483 ± 0.0211,0.2521 ± 0.0283,0.4772 ± 0.0169,0.3293 ± 0.0124,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
93,AzizA-A,0.4870 ± 0.0075,0.8486 ± 0.0225,0.2553 ± 0.0306,0.4861 ± 0.0173,0.3365 ± 0.0128,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
94,vibeADMET,0.4878 ± 0.0073,0.8498 ± 0.0203,0.2612 ± 0.0265,0.4850 ± 0.0167,0.3343 ± 0.0122,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
95,boltzmann4,0.4930 ± 0.0072,0.8589 ± 0.0213,0.2566 ± 0.0281,0.4967 ± 0.0165,0.3441 ± 0.0122,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
96,mtqspr_pcamor,0.4961 ± 0.0093,0.8643 ± 0.0268,0.0940 ± 0.0468,0.5326 ± 0.0165,0.3733 ± 0.0125,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
97,metro_mehed,0.4966 ± 0.0079,0.8652 ± 0.0177,0.1887 ± 0.0229,0.4505 ± 0.0168,0.3054 ± 0.0120,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
98,Apxjmd,0.5359 ± 0.0073,0.9337 ± 0.0234,0.1609 ± 0.0314,0.4573 ± 0.0178,0.3154 ± 0.0131,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
99,little-WM-atw-2,0.5872 ± 0.0152,1.0225 ± 0.0090,-0.7007 ± 0.0203,0.0922 ± 0.0221,0.0621 ± 0.0147,https://github.com/azminewasi/OpenADMET_ExpansionRx
100,redjay,0.7002 ± 0.0064,1.2200 ± 0.0246,-0.1888 ± 0.0262,0.3064 ± 0.0205,0.2076 ± 0.0144,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
101,haleemiliyash,1.2912 ± 0.0117,2.2503 ± 0.0715,-3.0259 ± 0.1799,0.4080 ± 0.0192,0.2826 ± 0.0140,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
102,Srajall,1.6953 ± 0.0142,2.9544 ± 0.0932,-5.7824 ± 0.3026,0.1102 ± 0.0215,0.0739 ± 0.0145,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
103,Sean-Wong,1.8053 ± 0.0142,3.1461 ± 0.0981,-6.5675 ± 0.3361,0.4756 ± 0.0172,0.3243 ± 0.0127,https://github.com/Wang-Lin-boop/Ouroboros
