final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
42,riemann,0.2073 ± 0.0082,0.6465 ± 0.0312,0.5368 ± 0.0413,0.7429 ± 0.0256,0.5583 ± 0.0233,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
43,wikke69,0.2077 ± 0.0081,0.6475 ± 0.0313,0.5354 ± 0.0391,0.7463 ± 0.0240,0.5607 ± 0.0224,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
44,jeremy,0.2095 ± 0.0089,0.6532 ± 0.0352,0.5011 ± 0.0479,0.7548 ± 0.0237,0.5630 ± 0.0220,https://github.com/jeremycheminf/openadmet_scripts/tree/main
45,martin,0.2097 ± 0.0083,0.6540 ± 0.0346,0.5089 ± 0.0483,0.7408 ± 0.0243,0.5529 ± 0.0225,https://docs.google.com/document/d/1bMJvlXRRXZ6S-ZnoGmGkYXiIbZNwiDCp23j-Oq3pOJ0/edit?tab=t.0#heading=h.bjzyy4l1sb7l
46,tmp1234,0.2103 ± 0.0081,0.6557 ± 0.0317,0.5265 ± 0.0402,0.7691 ± 0.0218,0.5765 ± 0.0211,https://docs.google.com/document/d/e/2PACX-1vQ1OAnGO4ZvVFwiiSUmFvaBfk8Hjetun_yDboslS6-p0GglV3vAgV1gZ1fJT0g1PtRlXcuS50kodogE/pub
47,aglisman,0.2136 ± 0.0087,0.6662 ± 0.0357,0.4902 ± 0.0481,0.7442 ± 0.0240,0.5582 ± 0.0226,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
48,robusta,0.2143 ± 0.0075,0.6682 ± 0.0312,0.5331 ± 0.0409,0.7799 ± 0.0216,0.5921 ± 0.0215,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
49,Shorku,0.2149 ± 0.0082,0.6699 ± 0.0312,0.4924 ± 0.0412,0.7659 ± 0.0228,0.5809 ± 0.0219,https://github.com/Shorku/OpenADMET_ExpansionRx_Blind_Challenge
50,okidoki,0.2159 ± 0.0087,0.6733 ± 0.0363,0.4853 ± 0.0498,0.7762 ± 0.0207,0.5847 ± 0.0206,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
51,chiliflake,0.2173 ± 0.0081,0.6776 ± 0.0353,0.4886 ± 0.0475,0.7501 ± 0.0219,0.5606 ± 0.0208,https://docs.google.com/document/d/e/2PACX-1vR3i2EDTBjTZRKv2EIU0HJeCZRVPHpRk4LQ_LKuexDPphwveWyVCLWNZECGrW7KXPL9ZqdGNApNWh37/pub
52,DMakarov,0.2227 ± 0.0082,0.6944 ± 0.0332,0.4770 ± 0.0444,0.7382 ± 0.0232,0.5476 ± 0.0217,https://github.com/MDMISC/OpenADMET
53,molairity,0.2255 ± 0.0086,0.7031 ± 0.0344,0.4490 ± 0.0486,0.7047 ± 0.0264,0.5194 ± 0.0237,https://docs.google.com/document/d/1gszarZfGCUkn6ZyPhTazd0C3fyjuM3d2vcYY5EW7Lxw/edit?usp=sharing
54,vibdsobeyens,0.2263 ± 0.0079,0.7054 ± 0.0285,0.4857 ± 0.0374,0.7082 ± 0.0259,0.5183 ± 0.0229,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
55,rappleton,0.2264 ± 0.0076,0.7058 ± 0.0311,0.4984 ± 0.0387,0.7804 ± 0.0210,0.5863 ± 0.0206,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
56,3dprint,0.2274 ± 0.0093,0.7088 ± 0.0276,0.4283 ± 0.0408,0.6492 ± 0.0307,0.4689 ± 0.0253,https://tinyurl.com/mnb2csbe
57,KagakuData,0.2312 ± 0.0079,0.7206 ± 0.0296,0.4712 ± 0.0373,0.7305 ± 0.0248,0.5393 ± 0.0226,https://github.com/KagakuAI/QSARcons
58,pykel,0.2327 ± 0.0088,0.7253 ± 0.0282,0.4276 ± 0.0403,0.6443 ± 0.0301,0.4642 ± 0.0250,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
59,nrosa1,0.2355 ± 0.0080,0.7343 ± 0.0338,0.4436 ± 0.0470,0.7533 ± 0.0228,0.5639 ± 0.0218,https://github.com/nrosa/openadmet-erx-challenge/blob/main/model_report.md
60,agitter,0.2367 ± 0.0092,0.7378 ± 0.0348,0.3862 ± 0.0533,0.6797 ± 0.0306,0.5043 ± 0.0259,https://github.com/agitter/openadmet-expansionrx-challenge
61,eq_az,0.2395 ± 0.0086,0.7466 ± 0.0296,0.4082 ± 0.0430,0.6425 ± 0.0315,0.4726 ± 0.0266,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
62,diliadis,0.2396 ± 0.0083,0.7471 ± 0.0329,0.4293 ± 0.0445,0.7190 ± 0.0253,0.5309 ± 0.0229,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
63,WakuwakuADMET,0.2408 ± 0.0091,0.7508 ± 0.0365,0.3813 ± 0.0547,0.6951 ± 0.0269,0.5059 ± 0.0229,https://huggingface.co/WakuwakuADMET/OpenADMET_ExpansionRx_Challenge_Methodology_Report
