final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
35,aglisman,0.3460 ± 0.0085,0.7362 ± 0.0164,0.2066 ± 0.0354,0.7458 ± 0.0125,0.5514 ± 0.0109,https://github.com/alec-glisman/OpenADMET-ExpansionRx-Blind-Challenge/blob/main/MODEL_CARD.md
36,briford,0.3469 ± 0.0082,0.7379 ± 0.0145,0.2317 ± 0.0245,0.6969 ± 0.0130,0.4983 ± 0.0110,https://github.com/SuperCowPowers/workbench/tree/main/open_admet
37,eq_az,0.3476 ± 0.0072,0.7396 ± 0.0099,0.3082 ± 0.0170,0.7340 ± 0.0119,0.5356 ± 0.0105,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
38,c-test,0.3480 ± 0.0082,0.7402 ± 0.0139,0.2267 ± 0.0223,0.7356 ± 0.0123,0.5382 ± 0.0107,https://docs.google.com/document/d/1-JpjWNB5aB2ShLqFGz7Yhf7g-lrMqXV3PHoufH3tho8/edit?tab=t.0
39,DMakarov,0.3490 ± 0.0081,0.7424 ± 0.0134,0.2472 ± 0.0215,0.6619 ± 0.0143,0.4700 ± 0.0115,https://github.com/MDMISC/OpenADMET
40,3dprint,0.3496 ± 0.0079,0.7438 ± 0.0160,0.2737 ± 0.0273,0.5727 ± 0.0183,0.4065 ± 0.0141,https://tinyurl.com/mnb2csbe
41,Kalen_UCL,0.3499 ± 0.0081,0.7443 ± 0.0123,0.2292 ± 0.0202,0.6745 ± 0.0143,0.4838 ± 0.0117,https://docs.google.com/document/d/1KYbdAJxJaDNGEy6DhjyhK7jZJM5J8KHEOX3MAB_b6Jc/edit?usp=sharing
42,echo,0.3507 ± 0.0082,0.7462 ± 0.0138,0.2202 ± 0.0219,0.7349 ± 0.0123,0.5377 ± 0.0107,https://docs.google.com/document/d/1nUIr9-EZc401HPdzErG6YnzW3BVy7I2CHUXqaIELLaY/edit?usp=sharing
43,Ensem,0.3510 ± 0.0082,0.7466 ± 0.0138,0.2194 ± 0.0220,0.7341 ± 0.0123,0.5369 ± 0.0108,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?tab=t.0
44,Na123,0.3510 ± 0.0082,0.7466 ± 0.0138,0.2194 ± 0.0220,0.7341 ± 0.0123,0.5369 ± 0.0108,https://docs.google.com/document/d/1BUZ010oL0_fNPmp3Iw28NYi-wkSMz5E8b_RHuQ_dp_0/edit?usp=sharing
45,AIDDLin,0.3510 ± 0.0078,0.7468 ± 0.0118,0.2601 ± 0.0187,0.5950 ± 0.0171,0.4232 ± 0.0133,https://github.com/linshaolong11/CAMF.git
46,Universal15,0.3512 ± 0.0082,0.7472 ± 0.0137,0.2214 ± 0.0220,0.7480 ± 0.0118,0.5514 ± 0.0105,https://docs.google.com/document/d/1RQTj1BBOKmtHgXschFUa_ZUdz1a0juRI0eXwnnLkPZE/edit?usp=sharing
47,mkruege,0.3517 ± 0.0083,0.7482 ± 0.0181,0.2097 ± 0.0334,0.6539 ± 0.0147,0.4645 ± 0.0122,https://doi.org/10.17617/3.GIKHJL
48,KagakuData,0.3531 ± 0.0078,0.7511 ± 0.0116,0.2437 ± 0.0193,0.6770 ± 0.0142,0.4873 ± 0.0116,https://github.com/KagakuAI/QSARcons
49,JacksonBurns,0.3535 ± 0.0084,0.7519 ± 0.0125,0.1951 ± 0.0201,0.7325 ± 0.0117,0.5305 ± 0.0101,https://github.com/JacksonBurns/openadmet_expansionrx/tree/f8efff6e739555337043574af3657cbe7af3e478
50,arabica,0.3536 ± 0.0081,0.7522 ± 0.0149,0.2197 ± 0.0246,0.7129 ± 0.0130,0.5196 ± 0.0112,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
51,mtqspr_pcamor,0.3555 ± 0.0085,0.7563 ± 0.0204,0.1984 ± 0.0383,0.6858 ± 0.0146,0.4961 ± 0.0120,https://docs.google.com/document/d/1knr4cDWE-Tn0ZmcTqSCfADTN2d6BIQqsnfaN6URv9Nk/edit?usp=sharing
52,ZaZdrowie,0.3560 ± 0.0082,0.7573 ± 0.0121,0.2017 ± 0.0185,0.7284 ± 0.0128,0.5341 ± 0.0110,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
53,diliadis,0.3566 ± 0.0083,0.7585 ± 0.0129,0.1983 ± 0.0215,0.6678 ± 0.0142,0.4761 ± 0.0117,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?usp=sharing
54,davidgiganti,0.3575 ± 0.0094,0.7626 ± 0.0139,0.1582 ± 0.0257,0.6621 ± 0.0156,0.4772 ± 0.0126,https://github.com/davidgiganti-ship-it/OpenADMET-ExpansionRx-Challenge
55,liberica,0.3575 ± 0.0081,0.7607 ± 0.0149,0.2130 ± 0.0245,0.7254 ± 0.0126,0.5287 ± 0.0109,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
56,interstellar-explorer,0.3583 ± 0.0082,0.7623 ± 0.0148,0.2007 ± 0.0238,0.7114 ± 0.0131,0.5153 ± 0.0112,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
57,median3,0.3611 ± 0.0083,0.7682 ± 0.0121,0.1929 ± 0.0193,0.6910 ± 0.0132,0.4938 ± 0.0110,https://docs.google.com/document/d/1TC8rbtKGD0wOh3CmvKCnoz_Lkflniip9-4IgKkBPOY8/edit?usp=sharing
58,leeherman,0.3620 ± 0.0083,0.7701 ± 0.0143,0.1856 ± 0.0236,0.6716 ± 0.0143,0.4794 ± 0.0118,https://docs.google.com/document/d/1_VPsW3p-zKztMqxTWbBNwhddvkqRS3ZWLmfO04nU9Lw/edit?usp=sharing
59,rappleton,0.3620 ± 0.0085,0.7701 ± 0.0145,0.1691 ± 0.0242,0.7061 ± 0.0132,0.5101 ± 0.0112,https://github.com/R-applet/ADMET_Challenge_2025/tree/main
60,tiuel,0.3653 ± 0.0081,0.7772 ± 0.0132,0.1831 ± 0.0216,0.6679 ± 0.0152,0.4819 ± 0.0125,https://github.com/etiu/OpenAdmet_competition
61,EGabrielle,0.3666 ± 0.0083,0.7799 ± 0.0130,0.1662 ± 0.0208,0.6590 ± 0.0158,0.4745 ± 0.0128,https://github.com/etiu/Openadmet_competition_v2
62,iCsmiles,0.3679 ± 0.0084,0.7826 ± 0.0134,0.1535 ± 0.0212,0.6888 ± 0.0144,0.4976 ± 0.0119,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
63,ellieberry,0.3679 ± 0.0083,0.7826 ± 0.0131,0.1604 ± 0.0211,0.6643 ± 0.0156,0.4800 ± 0.0127,https://github.com/etiu/Openadmet_competition_v2
64,rez3vil,0.3697 ± 0.0082,0.7865 ± 0.0135,0.1675 ± 0.0217,0.6531 ± 0.0158,0.4697 ± 0.0128,https://github.com/rez3vil/OpenADMET-ExpansionRx-Challenge.git
65,XeonChem,0.3717 ± 0.0106,0.7909 ± 0.0212,-0.0555 ± 0.0650,0.6914 ± 0.0147,0.5050 ± 0.0124,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
66,Harshit494,0.3721 ± 0.0086,0.7915 ± 0.0128,0.1326 ± 0.0204,0.6721 ± 0.0153,0.4845 ± 0.0125,https://github.com/research-al/admet-challenge
67,theZone,0.3735 ± 0.0088,0.7946 ± 0.0165,0.1142 ± 0.0300,0.6631 ± 0.0145,0.4718 ± 0.0120,https://drive.google.com/file/d/12OcLMCjM2S1Wz8yuLXZ3on_xwxGMyg3x/view?usp=drive_link
68,vibeADMET,0.3756 ± 0.0086,0.7989 ± 0.0130,0.1232 ± 0.0217,0.6308 ± 0.0164,0.4498 ± 0.0129,https://docs.google.com/document/d/e/2PACX-1vT8yCpYslYvCvcrZuZElChg6XVSx6HH1U4wZ0sLlHy6828LwVCBXSU4FTpwYvL8hDr7ReomL5q_PPki/pub
69,vibdsobeyens,0.3756 ± 0.0091,0.7991 ± 0.0150,0.0945 ± 0.0254,0.6320 ± 0.0150,0.4464 ± 0.0118,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
70,robusta,0.3764 ± 0.0111,0.8007 ± 0.0213,-0.1379 ± 0.0729,0.7237 ± 0.0135,0.5323 ± 0.0116,https://github.com/Ngoson2004/OpenADMET-ExpansionRX-Challenge.git
71,AzizA-A,0.3771 ± 0.0088,0.8023 ± 0.0134,0.1043 ± 0.0211,0.6806 ± 0.0142,0.4888 ± 0.0118,https://github.com/AzizAbusaleh/OpenADMET-Challenge2026/blob/3da375b0f8f801a03873ea69622ebb31d7f907fb/Report.pdf
72,tespharma,0.3782 ± 0.0092,0.8045 ± 0.0141,0.0740 ± 0.0237,0.6631 ± 0.0140,0.4672 ± 0.0113,https://docs.google.com/document/d/1ydaJf4kJOlfVOoYlXTEU0JNrINWhEwfM0NSPXJU-FtU/edit?usp=sharing
73,jeremy,0.3794 ± 0.0075,0.8070 ± 0.0095,0.1937 ± 0.0163,0.6565 ± 0.0157,0.4749 ± 0.0125,https://github.com/jeremycheminf/openadmet_scripts/tree/main
74,Mlzzzzz,0.3835 ± 0.0091,0.8159 ± 0.0138,0.0603 ± 0.0228,0.6668 ± 0.0145,0.4751 ± 0.0119,https://docs.google.com/document/d/1NsDLCBnDzkOVd4bWe7iVAiZ3y-4PUTF3DdlDlJy7j3o/edit?tab=t.0
75,femisegvn,0.3842 ± 0.0088,0.8173 ± 0.0137,0.0775 ± 0.0235,0.6394 ± 0.0155,0.4551 ± 0.0124,https://github.com/femisegvn/ExpansionRx-OpenADMET-blind-challenge
76,wleco22,0.3848 ± 0.0085,0.8186 ± 0.0127,0.1013 ± 0.0213,0.6523 ± 0.0155,0.4671 ± 0.0126,https://docs.google.com/document/d/1wxbX96aE9hxgvmUqbeLkxdDe4sRU1DcBXKB08eLo8G0/edit?usp=sharing
77,mechaman,0.3853 ± 0.0095,0.8196 ± 0.0156,0.0361 ± 0.0287,0.6322 ± 0.0153,0.4447 ± 0.0122,https://docs.google.com/document/d/1AKNCdPrxqh9QTG1RwOPitm7AUvUHLNl341EzFl9t4o8/edit?usp=sharing
78,SystemsCBLab,0.3885 ± 0.0090,0.8265 ± 0.0164,0.0445 ± 0.0378,0.6620 ± 0.0166,0.4854 ± 0.0133,https://github.com/apalania/OpenADMET-ExpansionRx-Challenge/blob/main/MethodologyReport_v2.pdf
79,rymsnyde,0.3970 ± 0.0092,0.8445 ± 0.0165,0.0064 ± 0.0294,0.6096 ± 0.0166,0.4289 ± 0.0131,https://github.com/rymsnyde/LMC-MO-GPR_for_ADMET
80,Srajall,0.3970 ± 0.0091,0.8447 ± 0.0174,0.0225 ± 0.0352,0.6073 ± 0.0168,0.4309 ± 0.0134,https://github.com/srajalcodes/ADMET-Challenge-Report-Methodology/blob/main/README.md
81,riemann,0.3974 ± 0.0088,0.8455 ± 0.0152,0.0573 ± 0.0246,0.6185 ± 0.0153,0.4321 ± 0.0119,https://docs.google.com/document/d/1N_huCHcjGN2OpioMyZBE3Pi5LRhVJoG2t3CFkqIHy50/edit?usp=sharing
82,haleemiliyash,0.4002 ± 0.0091,0.8514 ± 0.0141,0.0201 ± 0.0266,0.5121 ± 0.0181,0.3499 ± 0.0132,https://docs.google.com/document/d/1QKNw_Ev6EVsh2faLWFhflS22xxFrdWwcPvSdwYRMBJ0/edit?usp=sharing
83,Q_Accel,0.4003 ± 0.0092,0.8517 ± 0.0147,0.0042 ± 0.0242,0.6228 ± 0.0157,0.4378 ± 0.0124,https://docs.google.com/document/d/1f5yJKuEwGoVsXdp3lB_lnuruEi86-M7SNyhrRkBRbDs/edit?usp=sharing
84,sudhir2016,0.4008 ± 0.0090,0.8526 ± 0.0120,0.0091 ± 0.0209,0.5743 ± 0.0185,0.4110 ± 0.0141,https://gist.github.com/sudhir2016/e6a488fe6a856dfc3d8b6734b612a6a5
85,jonswain,0.4013 ± 0.0093,0.8536 ± 0.0139,-0.0153 ± 0.0261,0.5286 ± 0.0187,0.3681 ± 0.0139,https://github.com/jonswain/OpenADMET_ExpansionRx_Blind_Challenge
86,kermt-t,0.4039 ± 0.0094,0.8592 ± 0.0147,-0.0354 ± 0.0241,0.6402 ± 0.0140,0.4480 ± 0.0112,https://docs.google.com/document/d/1EZ99fCvqHSbhJxk2tqUKNOcVmi-iDENwvK1zuVqGLpc/edit?usp=sharing
87,Discoverybytes,0.4071 ± 0.0092,0.8661 ± 0.0139,-0.0218 ± 0.0231,0.5718 ± 0.0181,0.4034 ± 0.0136,https://docs.google.com/document/d/1fNlOGOvF_lrqWz8-MY3oNyXKUSy5_wWmZeukAEUUFf0/edit?usp=drive_link
88,lifaen,0.4075 ± 0.0090,0.8669 ± 0.0133,0.0012 ± 0.0235,0.5020 ± 0.0189,0.3413 ± 0.0135,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
89,pykel,0.4095 ± 0.0090,0.8711 ± 0.0170,0.0084 ± 0.0321,0.5104 ± 0.0191,0.3513 ± 0.0142,https://docs.google.com/document/d/e/2PACX-1vSu7dHC9-lGeMKyqHaiiPM3Ji_Mb-eLKKtOd453WzbMSH9bT2Bbct4e1TJ6a0kfquMTwK1V-JirxJDi/pub
90,Kandagalla,0.4129 ± 0.0098,0.8783 ± 0.0142,-0.0886 ± 0.0253,0.5698 ± 0.0156,0.3908 ± 0.0117,https://drive.google.com/file/d/1uJbizC6W-chHjzeq7uaQw42Cv91IsEAk/view?usp=sharing
91,tomatpercept,0.4257 ± 0.0100,0.9056 ± 0.0151,-0.1391 ± 0.0255,0.5906 ± 0.0170,0.4157 ± 0.0131,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/edit?usp=sharing
92,csaba-percept-bio,0.4257 ± 0.0100,0.9056 ± 0.0151,-0.1391 ± 0.0255,0.5906 ± 0.0170,0.4157 ± 0.0131,https://docs.google.com/document/d/1dzNWT8oyR0-ja_zT6q7bBMPfMTOH2gByY25Sbd13UOs/
93,boltzmann4,0.4354 ± 0.0098,0.9263 ± 0.0158,-0.1567 ± 0.0270,0.6216 ± 0.0170,0.4439 ± 0.0134,https://docs.google.com/document/d/1-yiygaQi4SC5-4TdrAo8faxW2CNO7YvJ/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
94,latticetower,0.4420 ± 0.0089,0.9403 ± 0.0155,-0.1082 ± 0.0323,0.4245 ± 0.0207,0.2931 ± 0.0147,https://github.com/latticetower/chemney
95,itetko,0.4447 ± 0.0101,0.9460 ± 0.0161,-0.2125 ± 0.0273,0.5791 ± 0.0170,0.4056 ± 0.0130,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
96,Apxjmd,0.4655 ± 0.0109,0.9903 ± 0.0163,-0.3648 ± 0.0302,0.4144 ± 0.0211,0.2841 ± 0.0149,https://docs.google.com/document/d/1r3o16KmaizQJb67i8G6lsYeIVsjUp3pSsK5u5GPqrBs/edit?usp=sharing
97,metro_mehed,0.4826 ± 0.0106,1.0267 ± 0.0175,-0.3813 ± 0.0320,0.5335 ± 0.0195,0.3761 ± 0.0143,https://docs.google.com/document/d/1xseb0nWU162fvvG8jFDoEKX_nx4qEflHMrNmDNSn2Oo/edit?usp=drive_link
98,eachanjohnson,0.4856 ± 0.0112,1.0329 ± 0.0155,-0.4721 ± 0.0310,0.2282 ± 0.0240,0.1550 ± 0.0162,https://github.com/eachanjohnson/challenge-2601-openadmet
99,redjay,0.5255 ± 0.0123,1.1180 ± 0.0187,-0.7209 ± 0.0353,0.1166 ± 0.0249,0.0791 ± 0.0167,https://docs.google.com/document/d/1QHhGtEriIm0jGCY5NdTxCxkS6xkUMPakCwgePgGcCj8/edit?tab=t.0
100,massazahdeh,0.6503 ± 0.1028,1.3831 ± 0.2157,-58.9099 ± 27.6393,0.6754 ± 0.0150,0.4887 ± 0.0123,https://huggingface.co/spaces/openadmet/OpenADMET-ExpansionRx-Challenge
101,boltzmann_xgb,0.6807 ± 0.0127,1.4481 ± 0.0226,-1.4017 ± 0.0493,0.4617 ± 0.0190,0.3110 ± 0.0133,https://docs.google.com/document/d/1RFuSB9CzAwwysvgjP2Bo0RXWbIUZsKF-/edit?usp=sharing&ouid=111440856211122900819&rtpof=true&sd=true
102,Sean-Wong,0.8945 ± 0.0133,1.9032 ± 0.0269,-2.5870 ± 0.0725,0.6300 ± 0.0161,0.4502 ± 0.0125,https://github.com/Wang-Lin-boop/Ouroboros
103,little-WM-atw-2,0.9564 ± 0.0118,2.0354 ± 0.0523,-2.7760 ± 0.1441,0.2658 ± 0.0243,0.1763 ± 0.0166,https://github.com/azminewasi/OpenADMET_ExpansionRx
