final rank,user,MAE_display,RAE_display,R2_display,Spearman R_display,Kendall's Tau_display,model details
52,KNIMEST,0.4031 ± 0.0082,0.4964 ± 0.0108,0.7076 ± 0.0167,0.8638 ± 0.0070,0.6965 ± 0.0076,https://docs.google.com/document/d/1e0LpSpYW4VM2c9xVnSKykDDpP9lvdUSIsAJ6h1qbt4E/edit?usp=drive_link
53,okidoki,0.4050 ± 0.0085,0.4988 ± 0.0115,0.7019 ± 0.0181,0.8490 ± 0.0079,0.6785 ± 0.0083,https://docs.google.com/document/d/1yD6ZppdthvohCvc1fYvUi57Jsxu1XS5nuRYwHEGblp4/edit?tab=t.0
54,wikke69,0.4095 ± 0.0088,0.5043 ± 0.0114,0.6837 ± 0.0204,0.8327 ± 0.0093,0.6727 ± 0.0092,https://gist.github.com/dehaenw/1318d2265db7ab2744306a7b26e1c535
55,vibdsobeyens,0.4111 ± 0.0085,0.5063 ± 0.0110,0.6972 ± 0.0161,0.8685 ± 0.0071,0.7026 ± 0.0079,https://docs.google.com/document/d/1sdAHKfckhfJBOAnkWTo0iYpFmvKm_nrkSnmymrJgTy0/edit?tab=t.0#heading=h.6pqvt9f1ijp7
56,Hydra,0.4122 ± 0.0100,0.5075 ± 0.0131,0.6432 ± 0.0233,0.8391 ± 0.0103,0.6879 ± 0.0096,https://docs.google.com/document/d/1Jbr7aBBScvanrqfzYsnE1m-a3fJxgv_BIcfDQWls6BQ/edit?usp=sharing
57,XeonChem,0.4156 ± 0.0084,0.5118 ± 0.0125,0.6709 ± 0.0185,0.8398 ± 0.0086,0.6782 ± 0.0085,https://docs.google.com/document/d/1-N0GW_6HnSx4rYVoyKCGjGUWxcBXyxwWsmi38lueZck/edit?usp=sharing
58,interstellar-explorer,0.4158 ± 0.0097,0.5121 ± 0.0127,0.6497 ± 0.0230,0.8332 ± 0.0108,0.6836 ± 0.0098,https://docs.google.com/document/d/1cplc30gDCRcweL39KcN27ANOYPi9sZD_tAtfnMwgoeU/edit?usp=sharing
59,lifaen,0.4178 ± 0.0088,0.5145 ± 0.0112,0.6753 ± 0.0190,0.8505 ± 0.0082,0.6837 ± 0.0083,https://docs.google.com/document/d/1ng3NAEPVjCxvTXzGQfE4bCtfqj0Tms-Zkxr3YyfHBZA/edit?usp=sharing
60,eq_az,0.4222 ± 0.0092,0.5199 ± 0.0124,0.6738 ± 0.0181,0.8276 ± 0.0099,0.6627 ± 0.0095,https://drive.google.com/drive/folders/1AE9iD5EHYA7Kri1Z1hywNPXMaQl0-4iQ
61,combo,0.4222 ± 0.0092,0.5199 ± 0.0124,0.6738 ± 0.0181,0.8276 ± 0.0099,0.6627 ± 0.0095,https://docs.google.com/document/d/1oWa1P6HHcntg8GSvAhLG8e576mYATK3HwOhCsVihWx8/edit?usp=drivesdk
62,ZaZdrowie,0.4260 ± 0.0079,0.5247 ± 0.0118,0.7047 ± 0.0147,0.8235 ± 0.0093,0.6522 ± 0.0093,https://gist.github.com/vchupakhinslp/4eac9f483b2b55168ed4f0d10d92455c
63,itetko,0.4316 ± 0.0087,0.5315 ± 0.0099,0.6710 ± 0.0164,0.8329 ± 0.0082,0.6579 ± 0.0085,https://docs.google.com/document/d/1wh6lkdgEl7lMLSyxhuMXVd3E4Pqqbo--lPdxb_hoTkM/edit?tab=t.0
64,madie31,0.4353 ± 0.0094,0.5360 ± 0.0125,0.6476 ± 0.0215,0.8134 ± 0.0101,0.6475 ± 0.0098,https://deu01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fdocs.google.com%2Fdocument%2Fd%2F1bwf4dckzznWy4DbNXrNxB_jbWFAwRAGa%2Fedit%3Fusp%3Ddrive_link%26ouid%3D100007225775794272332%26rtpof%3Dtrue%26sd%3Dtrue&data=05%7C02%7CLaetitia.Breuil%40evotec.com%7C6adc287ff3c74acba6d008de56a9a9f2%7C3047e55219ba4ca2a020799287660985%7C0%7C0%7C639043483862053326%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=W%2BY9Rq8RyDV5P2u3sO5%2Bi1CT1Tlwlv5tA0qHU%2BkppM0%3D&reserved=0
65,iCsmiles,0.4388 ± 0.0085,0.5403 ± 0.0116,0.6699 ± 0.0155,0.8132 ± 0.0094,0.6390 ± 0.0094,https://huggingface.co/datasets/JustLeonard/ML/blob/main/readmev2.pdf
